well	ID
A1	h1299_clone1A1
B1	h1299_clone1A1
C1	h1299_clone1B1
D1	h1299_clone1B1
E1	h1299_clone1C1
F1	h1299_clone1C1
G1	h1299_clone1D1
H1	h1299_clone1D1
I1	h1299_clone1E1
J1	h1299_clone1E1
K1	h1299_clone1F1
L1	h1299_clone1F1
M1	h1299_clone1G1
N1	h1299_clone1G1
O1	h1299_clone1H1
P1	h1299_clone1H1
A2	h1299_clone1A1
B2	h1299_clone1A1
C2	h1299_clone1B1
D2	h1299_clone1B1
E2	h1299_clone1C1
F2	h1299_clone1C1
G2	h1299_clone1D1
H2	h1299_clone1D1
I2	h1299_clone1E1
J2	h1299_clone1E1
K2	h1299_clone1F1
L2	h1299_clone1F1
M2	h1299_clone1G1
N2	h1299_clone1G1
O2	h1299_clone1H1
P2	h1299_clone1H1
A3	h1299_clone1A2
B3	h1299_clone1A2
C3	h1299_clone1B2
D3	h1299_clone1B2
E3	h1299_clone1C2
F3	h1299_clone1C2
G3	h1299_clone1D2
H3	h1299_clone1D2
I3	h1299_clone1E2
J3	h1299_clone1E2
K3	h1299_clone1F2
L3	h1299_clone1F2
M3	h1299_clone1G2
N3	h1299_clone1G2
O3	h1299_clone1H2
P3	h1299_clone1H2
A4	h1299_clone1A2
B4	h1299_clone1A2
C4	h1299_clone1B2
D4	h1299_clone1B2
E4	h1299_clone1C2
F4	h1299_clone1C2
G4	h1299_clone1D2
H4	h1299_clone1D2
I4	h1299_clone1E2
J4	h1299_clone1E2
K4	h1299_clone1F2
L4	h1299_clone1F2
M4	h1299_clone1G2
N4	h1299_clone1G2
O4	h1299_clone1H2
P4	h1299_clone1H2
A5	h1299_clone1A3
B5	h1299_clone1A3
C5	h1299_clone1B3
D5	h1299_clone1B3
E5	h1299_clone1C3
F5	h1299_clone1C3
G5	h1299_clone1D3
H5	h1299_clone1D3
I5	h1299_clone1E3
J5	h1299_clone1E3
K5	h1299_clone1F3
L5	h1299_clone1F3
M5	h1299_clone1G3
N5	h1299_clone1G3
O5	h1299_clone1H3
P5	h1299_clone1H3
A6	h1299_clone1A3
B6	h1299_clone1A3
C6	h1299_clone1B3
D6	h1299_clone1B3
E6	h1299_clone1C3
F6	h1299_clone1C3
G6	h1299_clone1D3
H6	h1299_clone1D3
I6	h1299_clone1E3
J6	h1299_clone1E3
K6	h1299_clone1F3
L6	h1299_clone1F3
M6	h1299_clone1G3
N6	h1299_clone1G3
O6	h1299_clone1H3
P6	h1299_clone1H3
A7	h1299_clone1A4
B7	h1299_clone1A4
C7	h1299_clone1B4
D7	h1299_clone1B4
E7	h1299_clone1C4
F7	h1299_clone1C4
G7	h1299_clone1D4
H7	h1299_clone1D4
I7	h1299_clone1E4
J7	h1299_clone1E4
K7	h1299_clone1F4
L7	h1299_clone1F4
M7	h1299_clone1G4
N7	h1299_clone1G4
O7	h1299_clone1H4
P7	h1299_clone1H4
A8	h1299_clone1A4
B8	h1299_clone1A4
C8	h1299_clone1B4
D8	h1299_clone1B4
E8	h1299_clone1C4
F8	h1299_clone1C4
G8	h1299_clone1D4
H8	h1299_clone1D4
I8	h1299_clone1E4
J8	h1299_clone1E4
K8	h1299_clone1F4
L8	h1299_clone1F4
M8	h1299_clone1G4
N8	h1299_clone1G4
O8	h1299_clone1H4
P8	h1299_clone1H4
A9	h1299_clone1A5
B9	h1299_clone1A5
C9	h1299_clone1B5
D9	h1299_clone1B5
E9	h1299_clone1C5
F9	h1299_clone1C5
G9	h1299_clone1D5
H9	h1299_clone1D5
I9	h1299_clone1E5
J9	h1299_clone1E5
K9	h1299_clone1F5
L9	h1299_clone1F5
M9	h1299_clone1G5
N9	h1299_clone1G5
O9	h1299_clone1H5
P9	h1299_clone1H5
A10	h1299_clone1A5
B10	h1299_clone1A5
C10	h1299_clone1B5
D10	h1299_clone1B5
E10	h1299_clone1C5
F10	h1299_clone1C5
G10	h1299_clone1D5
H10	h1299_clone1D5
I10	h1299_clone1E5
J10	h1299_clone1E5
K10	h1299_clone1F5
L10	h1299_clone1F5
M10	h1299_clone1G5
N10	h1299_clone1G5
O10	h1299_clone1H5
P10	h1299_clone1H5
A11	h1299_clone1A6
B11	h1299_clone1A6
C11	h1299_clone1B6
D11	h1299_clone1B6
E11	h1299_clone1C6
F11	h1299_clone1C6
G11	h1299_clone1D6
H11	h1299_clone1D6
I11	h1299_clone1E6
J11	h1299_clone1E6
K11	h1299_clone1F6
L11	h1299_clone1F6
M11	h1299_clone1G6
N11	h1299_clone1G6
O11	h1299_clone1H6
P11	h1299_clone1H6
A12	h1299_clone1A6
B12	h1299_clone1A6
C12	h1299_clone1B6
D12	h1299_clone1B6
E12	h1299_clone1C6
F12	h1299_clone1C6
G12	h1299_clone1D6
H12	h1299_clone1D6
I12	h1299_clone1E6
J12	h1299_clone1E6
K12	h1299_clone1F6
L12	h1299_clone1F6
M12	h1299_clone1G6
N12	h1299_clone1G6
O12	h1299_clone1H6
P12	h1299_clone1H6
A13	h1299_clone1A7
B13	h1299_clone1A7
C13	h1299_clone1B7
D13	h1299_clone1B7
E13	h1299_clone1C7
F13	h1299_clone1C7
G13	h1299_clone1D7
H13	h1299_clone1D7
I13	h1299_clone1E7
