well	ID
B19	cloneDKO335
C19	cloneDKO336
D19	cloneDKO336
E19	cloneDKO337
F19	cloneDKO337
G19	cloneDKO338
H19	cloneDKO338
I19	cloneDKO339
J19	cloneDKO339
K19	cloneDKO340
L19	cloneDKO340
M19	cloneDKO341
N19	cloneDKO341
O19	cloneDKO342
P19	cloneDKO342
A20	cloneDKO429
B20	cloneDKO429
C20	cloneDKO430
D20	cloneDKO430
E20	cloneDKO431
F20	cloneDKO431
G20	cloneDKO432
H20	cloneDKO432
I20	cloneDKO433
J20	cloneDKO433
K20	cloneDKO434
L20	cloneDKO434
M20	cloneDKO435
N20	cloneDKO435
O20	cloneDKO436
P20	cloneDKO436
A21	cloneDKO343
B21	cloneDKO343
C21	cloneDKO344
D21	cloneDKO344
E21	cloneDKO345
F21	cloneDKO345
G21	cloneDKO346
H21	cloneDKO346
I21	cloneDKO347
J21	cloneDKO347
K21	cloneDKO348
L21	cloneDKO348
M21	cloneDKO349
N21	cloneDKO349
O21	cloneDKO350
P21	cloneDKO350
A22	cloneDKO437
B22	cloneDKO437
C22	cloneDKO438
D22	cloneDKO438
E22	cloneDKO439
F22	cloneDKO439
G22	cloneDKO440
H22	cloneDKO440
I22	cloneDKO441
J22	cloneDKO441
K22	cloneDKO442
L22	cloneDKO442
M22	cloneDKO443
N22	cloneDKO443
O22	cloneDKO444
P22	cloneDKO444
A23	cloneDKO351
B23	cloneDKO351
C23	cloneDKO352
D23	cloneDKO352
E23	cloneDKO353
F23	cloneDKO353
G23	cloneDKO354
H23	cloneDKO354
I23	cloneDKO355
J23	cloneDKO355
K23	cloneDKO356
L23	cloneDKO356
M23	cloneDKO357
N23	cloneDKO357
O23	cloneDKO358
P23	cloneDKO358
A24	cloneDKO445
B24	cloneDKO445
C24	cloneDKO446
D24	cloneDKO446
E24	cloneDKO447
F24	cloneDKO447
G24	cloneDKO448
H24	cloneDKO448
I24	cloneDKO449
J24	cloneDKO449
K24	cloneDKO450
L24	cloneDKO450
M24	cloneDKO_empty125
N24	cloneDKO_empty125
O24	cloneDKO_empty126
P24	cloneDKO_empty126
