well	ID
A1	cloneKO193
B1	cloneKO193
C1	cloneKO194
D1	cloneKO194
E1	cloneKO195
F1	cloneKO195
G1	cloneKO196
H1	cloneKO196
I1	cloneKO197
J1	cloneKO197
K1	cloneKO198
L1	cloneKO198
M1	cloneKO199
N1	cloneKO199
O1	cloneKO200
P1	cloneKO200
A2	cloneKO289
B2	cloneKO289
C2	cloneKO290
D2	cloneKO290
E2	cloneKO291
F2	cloneKO291
G2	cloneKO292
H2	cloneKO292
I2	cloneKO293
J2	cloneKO293
K2	cloneKO294
L2	cloneKO294
M2	cloneKO295
N2	cloneKO295
O2	cloneKO296
P2	cloneKO296
A3	cloneKO201
B3	cloneKO201
C3	cloneKO202
D3	cloneKO202
E3	cloneKO203
F3	cloneKO203
G3	cloneKO204
H3	cloneKO204
I3	cloneKO205
J3	cloneKO205
K3	cloneKO206
L3	cloneKO206
M3	cloneKO207
N3	cloneKO207
O3	cloneKO208
P3	cloneKO208
A4	cloneKO297
B4	cloneKO297
C4	cloneKO298
D4	cloneKO298
E4	cloneKO299
F4	cloneKO299
G4	cloneKO300
H4	cloneKO300
I4	cloneKO301
J4	cloneKO301
K4	cloneKO302
L4	cloneKO302
M4	cloneKO303
N4	cloneKO303
O4	cloneKO304
P4	cloneKO304
A5	cloneKO209
B5	cloneKO209
C5	cloneKO210
D5	cloneKO210
E5	cloneKO211
F5	cloneKO211
G5	cloneKO212
H5	cloneKO212
I5	cloneKO213
J5	cloneKO213
K5	cloneKO214
L5	cloneKO214
M5	cloneKO215
N5	cloneKO215
O5	cloneKO216
P5	cloneKO216
A6	cloneKO305
B6	cloneKO305
C6	cloneKO306
D6	cloneKO306
E6	cloneKO307
F6	cloneKO307
G6	cloneKO308
H6	cloneKO308
I6	cloneKO309
J6	cloneKO309
K6	cloneKO310
L6	cloneKO310
M6	cloneKO311
N6	cloneKO311
O6	cloneKO312
P6	cloneKO312
A7	cloneKO217
B7	cloneKO217
C7	cloneKO218
D7	cloneKO218
E7	cloneKO219
F7	cloneKO219
G7	cloneKO220
H7	cloneKO220
I7	cloneKO221
J7	cloneKO221
K7	cloneKO222
L7	cloneKO222
M7	cloneKO223
N7	cloneKO223
O7	cloneKO224
P7	cloneKO224
A8	cloneKO313
B8	cloneKO313
C8	cloneKO314
D8	cloneKO314
E8	cloneKO315
F8	cloneKO315
G8	cloneKO316
H8	cloneKO316
I8	cloneKO317
J8	cloneKO317
K8	cloneKO318
L8	cloneKO318
M8	cloneKO319
N8	cloneKO319
O8	cloneKO320
P8	cloneKO320
A9	cloneKO225
B9	cloneKO225
C9	cloneKO226
D9	cloneKO226
E9	cloneKO227
F9	cloneKO227
G9	cloneKO228
H9	cloneKO228
I9	cloneKO229
J9	cloneKO229
K9	cloneKO230
L9	cloneKO230
M9	cloneKO231
N9	cloneKO231
O9	cloneKO232
P9	cloneKO232
A10	cloneKO321
B10	cloneKO321
C10	cloneKO322
D10	cloneKO322
E10	cloneKO323
F10	cloneKO323
G10	cloneKO324
H10	cloneKO324
I10	cloneKO325
J10	cloneKO325
K10	cloneKO326
L10	cloneKO326
M10	cloneKO327
N10	cloneKO327
O10	cloneKO328
P10	cloneKO328
A11	cloneKO233
B11	cloneKO233
C11	cloneKO234
D11	cloneKO234
E11	cloneKO235
F11	cloneKO235
G11	cloneKO236
H11	cloneKO236
I11	cloneKO237
J11	cloneKO237
K11	cloneKO238
L11	cloneKO238
M11	cloneKO239
N11	cloneKO239
O11	cloneKO240
P11	cloneKO240
A12	cloneKO329
B12	cloneKO329
C12	cloneKO330
D12	cloneKO330
E12	cloneKO331
F12	cloneKO331
G12	cloneKO332
H12	cloneKO332
I12	cloneKO333
J12	cloneKO333
K12	cloneKO334
L12	cloneKO334
M12	cloneKO335
N12	cloneKO335
O12	cloneKO336
P12	cloneKO336
A13	cloneKO241
B13	cloneKO241
C13	cloneKO242
D13	cloneKO242
E13	cloneKO243
F13	cloneKO243
G13	cloneKO244
H13	cloneKO244
I13	cloneKO245
J13	cloneKO245
K13	cloneKO246
L13	cloneKO246
M13	cloneKO247
N13	cloneKO247
O13	cloneKO248
P13	cloneKO248
A14	cloneKO337
B14	cloneKO337
C14	cloneKO338
D14	cloneKO338
E14	cloneKO339
F14	cloneKO339
G14	cloneKO340
H14	cloneKO340
I14	cloneKO341
J14	cloneKO341
K14	cloneKO342
L14	cloneKO342
M14	cloneKO343
N14	cloneKO343
O14	cloneKO344
P14	cloneKO344
A15	cloneKO249
B15	cloneKO249
C15	cloneKO250
D15	cloneKO250
E15	cloneKO251
F15	cloneKO251
G15	cloneKO252
H15	cloneKO252
I15	cloneKO253
J15	cloneKO253
K15	cloneKO254
L15	cloneKO254
M15	cloneKO255
N15	cloneKO255
O15	cloneKO256
P15	cloneKO256
A16	cloneKO345
B16	cloneKO345
C16	cloneKO346
D16	cloneKO346
E16	cloneKO347
F16	cloneKO347
G16	cloneKO348
H16	cloneKO348
I16	cloneKO349
J16	cloneKO349
K16	cloneKO350
L16	cloneKO350
M16	cloneKO351
N16	cloneKO351
O16	cloneKO352
P16	cloneKO352
A17	cloneKO257
B17	cloneKO257
C17	cloneKO258
D17	cloneKO258
E17	cloneKO259
F17	cloneKO259
G17	cloneKO260
H17	cloneKO260
I17	cloneKO261
J17	cloneKO261
K17	cloneKO262
L17	cloneKO262
M17	cloneKO263
N17	cloneKO263
O17	cloneKO264
P17	cloneKO264
A18	cloneKO353
B18	cloneKO353
C18	cloneKO354
D18	cloneKO354
E18	cloneKO355
F18	cloneKO355
G18	cloneKO356
H18	cloneKO356
I18	cloneKO357
J18	cloneKO357
K18	cloneKO358
L18	cloneKO358
M18	cloneKO359
N18	cloneKO359
O18	cloneKO360
P18	cloneKO360
A19	cloneKO265
B19	cloneKO265
C19	cloneKO266
D19	cloneKO266
E19	cloneKO267
F19	cloneKO267
G19	cloneKO268
H19	cloneKO268
I19	cloneKO269
J19	cloneKO269
K19	cloneKO270
L19	cloneKO270
M19	cloneKO271
N19	cloneKO271
O19	cloneKO272
P19	cloneKO272
A20	cloneKO361
B20	cloneKO361
C20	cloneKO362
D20	cloneKO362
E20	cloneKO363
F20	cloneKO363
G20	cloneKO364
H20	cloneKO364
I20	cloneKO365
J20	cloneKO365
K20	cloneKO366
L20	cloneKO366
M20	cloneKO367
N20	cloneKO367
O20	cloneKO368
P20	cloneKO368
A21	cloneKO273
B21	cloneKO273
C21	cloneKO274
D21	cloneKO274
E21	cloneKO275
F21	cloneKO275
G21	cloneKO276
H21	cloneKO276
I21	cloneKO277
J21	cloneKO277
K21	cloneKO278
L21	cloneKO278
M21	cloneKO279
N21	cloneKO279
O21	cloneKO280
P21	cloneKO280
A22	cloneKO369
B22	cloneKO369
C22	cloneKO370
D22	cloneKO370
E22	cloneKO371
F22	cloneKO371
G22	cloneKO372
H22	cloneKO372
I22	cloneKO373
J22	cloneKO373
K22	cloneKO374
L22	cloneKO374
M22	cloneKO375
N22	cloneKO375
O22	cloneKO376
P22	cloneKO376
A23	cloneKO281
B23	cloneKO281
C23	cloneKO282
D23	cloneKO282
E23	cloneKO283
F23	cloneKO283
G23	cloneKO284
H23	cloneKO284
I23	cloneKO285
J23	cloneKO285
K23	cloneKO286
L23	cloneKO286
M23	cloneKO287
N23	cloneKO287
O23	cloneKO288
P23	cloneKO288
A24	cloneKO377
B24	cloneKO377
C24	cloneKO378
D24	cloneKO378
E24	cloneKO379
F24	cloneKO379
G24	cloneKO380
H24	cloneKO380
I24	cloneKO381
J24	cloneKO381
K24	cloneKO382
L24	cloneKO382
M24	cloneKO383
N24	cloneKO383
O24	cloneKO384
P24	cloneKO384
