well	ID
F16	h1299_clone3C8
G16	h1299_clone3D8
H16	h1299_clone3D8
I16	h1299_clone3E8
J16	h1299_clone3E8
K16	h1299_clone3F8
L16	h1299_clone3F8
M16	h1299_clone3G8
N16	h1299_clone3G8
O16	h1299_clone3H8
P16	h1299_clone3H8
A17	h1299_clone3A9
B17	h1299_clone3A9
C17	h1299_clone3B9
D17	h1299_clone3B9
E17	h1299_clone3C9
F17	h1299_clone3C9
G17	h1299_clone3D9
H17	h1299_clone3D9
I17	h1299_clone3E9
J17	h1299_clone3E9
K17	h1299_clone3F9
L17	h1299_clone3F9
M17	h1299_clone3G9
N17	h1299_clone3G9
O17	h1299_clone3H9
P17	h1299_clone3H9
A18	h1299_clone3A9
B18	h1299_clone3A9
C18	h1299_clone3B9
D18	h1299_clone3B9
E18	h1299_clone3C9
F18	h1299_clone3C9
G18	h1299_clone3D9
H18	h1299_clone3D9
I18	h1299_clone3E9
J18	h1299_clone3E9
K18	h1299_clone3F9
L18	h1299_clone3F9
M18	h1299_clone3G9
N18	h1299_clone3G9
O18	h1299_clone3H9
P18	h1299_clone3H9
A19	h1299_clone3A10
B19	h1299_clone3A10
C19	h1299_clone3B10
D19	h1299_clone3B10
E19	h1299_clone3C10
F19	h1299_clone3C10
G19	h1299_clone3D10
H19	h1299_clone3D10
I19	h1299_clone3E10
J19	h1299_clone3E10
K19	h1299_clone3F10
L19	h1299_clone3F10
M19	h1299_clone3G10
N19	h1299_clone3G10
O19	h1299_clone3H10
P19	h1299_clone3H10
A20	h1299_clone3A10
B20	h1299_clone3A10
C20	h1299_clone3B10
D20	h1299_clone3B10
E20	h1299_clone3C10
F20	h1299_clone3C10
G20	h1299_clone3D10
H20	h1299_clone3D10
I20	h1299_clone3E10
J20	h1299_clone3E10
K20	h1299_clone3F10
L20	h1299_clone3F10
M20	h1299_clone3G10
N20	h1299_clone3G10
O20	h1299_clone3H10
P20	h1299_clone3H10
A21	h1299_clone3A11
B21	h1299_clone3A11
C21	h1299_clone3B11
D21	h1299_clone3B11
E21	h1299_clone3C11
F21	h1299_clone3C11
G21	h1299_clone3D11
H21	h1299_clone3D11
I21	h1299_clone3E11_empty
J21	h1299_clone3E11_empty
K21	h1299_clone3F11_empty
L21	h1299_clone3F11_empty
M21	h1299_clone3G11_empty
N21	h1299_clone3G11_empty
O21	h1299_clone3H11_empty
P21	h1299_clone3H11_empty
A22	h1299_clone3A11
B22	h1299_clone3A11
C22	h1299_clone3B11
D22	h1299_clone3B11
E22	h1299_clone3C11
F22	h1299_clone3C11
G22	h1299_clone3D11
H22	h1299_clone3D11
I22	h1299_clone3E11_empty
J22	h1299_clone3E11_empty
K22	h1299_clone3F11_empty
L22	h1299_clone3F11_empty
M22	h1299_clone3G11_empty
N22	h1299_clone3G11_empty
O22	h1299_clone3H11_empty
P22	h1299_clone3H11_empty
A23	h1299_clone3A12_empty
B23	h1299_clone3A12_empty
C23	h1299_clone3B12_empty
D23	h1299_clone3B12_empty
E23	h1299_clone3C12_empty
F23	h1299_clone3C12_empty
G23	h1299_clone3D12_empty
H23	h1299_clone3D12_empty
I23	h1299_clone3E12_empty
J23	h1299_clone3E12_empty
K23	h1299_clone3F12_empty
L23	h1299_clone3F12_empty
M23	h1299_clone3G12_empty
N23	h1299_clone3G12_empty
O23	h1299_clone3H12_empty
P23	h1299_clone3H12_empty
A24	h1299_clone3A12_empty
B24	h1299_clone3A12_empty
C24	h1299_clone3B12_empty
D24	h1299_clone3B12_empty
E24	h1299_clone3C12_empty
F24	h1299_clone3C12_empty
G24	h1299_clone3D12_empty
H24	h1299_clone3D12_empty
I24	h1299_clone3E12_empty
J24	h1299_clone3E12_empty
K24	h1299_clone3F12_empty
L24	h1299_clone3F12_empty
M24	h1299_clone3G12_empty
N24	h1299_clone3G12_empty
O24	h1299_clone3H12_empty
P24	h1299_clone3H12_empty
