well	ID
A1	WI38_clone1
B1	WI38_clone1
C1	WI38_clone2
D1	WI38_clone2
E1	WI38_clone3
F1	WI38_clone3
G1	WI38_clone4
H1	WI38_clone4
I1	WI38_clone5
J1	WI38_clone5
K1	WI38_clone6
L1	WI38_clone6
M1	WI38_clone7
N1	WI38_clone7
O1	WI38_clone8
P1	WI38_clone8
A2	WI38_clone1
B2	WI38_clone1
C2	WI38_clone2
D2	WI38_clone2
E2	WI38_clone3
F2	WI38_clone3
G2	WI38_clone4
H2	WI38_clone4
I2	WI38_clone5
J2	WI38_clone5
K2	WI38_clone6
L2	WI38_clone6
M2	WI38_clone7
N2	WI38_clone7
O2	WI38_clone8
P2	WI38_clone8
A3	WI38_clone1
B3	WI38_clone1
C3	WI38_clone2
D3	WI38_clone2
E3	WI38_clone3
F3	WI38_clone3
G3	WI38_clone4
H3	WI38_clone4
I3	WI38_clone5
J3	WI38_clone5
K3	WI38_clone6
L3	WI38_clone6
M3	WI38_clone7
N3	WI38_clone7
O3	WI38_clone8
P3	WI38_clone8
A4	WI38_clone9
B4	WI38_clone9
C4	WI38_clone10
D4	WI38_clone10
E4	WI38_clone11
F4	WI38_clone11
G4	WI38_clone12
H4	WI38_clone12
I4	WI38_clone13
J4	WI38_clone13
K4	WI38_clone14
L4	WI38_clone14
M4	WI38_clone15
N4	WI38_clone15
O4	WI38_clone16
P4	WI38_clone16
A5	WI38_clone9
B5	WI38_clone9
C5	WI38_clone10
D5	WI38_clone10
E5	WI38_clone11
F5	WI38_clone11
G5	WI38_clone12
H5	WI38_clone12
I5	WI38_clone13
J5	WI38_clone13
K5	WI38_clone14
L5	WI38_clone14
M5	WI38_clone15
N5	WI38_clone15
O5	WI38_clone16
P5	WI38_clone16
A6	WI38_clone9
B6	WI38_clone9
C6	WI38_clone10
D6	WI38_clone10
E6	WI38_clone11
F6	WI38_clone11
G6	WI38_clone12
H6	WI38_clone12
I6	WI38_clone13
J6	WI38_clone13
K6	WI38_clone14
L6	WI38_clone14
M6	WI38_clone15
N6	WI38_clone15
O6	WI38_clone16
P6	WI38_clone16
A7	WI38_clone17
B7	WI38_clone17
C7	WI38_clone18
D7	WI38_clone18
E7	WI38_clone19
F7	WI38_clone19
G7	WI38_clone20
H7	WI38_clone20
I7	WI38_clone21
J7	WI38_clone21
K7	WI38_clone22
L7	WI38_clone22
M7	WI38_clone23
N7	WI38_clone23
O7	WI38_clone24
P7	WI38_clone24
A8	WI38_clone17
B8	WI38_clone17
C8	WI38_clone18
D8	WI38_clone18
E8	WI38_clone19
F8	WI38_clone19
G8	WI38_clone20
H8	WI38_clone20
I8	WI38_clone21
J8	WI38_clone21
K8	WI38_clone22
L8	WI38_clone22
M8	WI38_clone23
N8	WI38_clone23
O8	WI38_clone24
P8	WI38_clone24
A9	WI38_clone17
B9	WI38_clone17
C9	WI38_clone18
D9	WI38_clone18
E9	WI38_clone19
F9	WI38_clone19
G9	WI38_clone20
H9	WI38_clone20
I9	WI38_clone21
J9	WI38_clone21
K9	WI38_clone22
L9	WI38_clone22
M9	WI38_clone23
N9	WI38_clone23
O9	WI38_clone24
P9	WI38_clone24
A10	WI38_clone25
B10	WI38_clone25
C10	WI38_clone26
D10	WI38_clone26
E10	WI38_clone27
F10	WI38_clone27
G10	WI38_clone28
H10	WI38_clone28
I10	WI38_clone29
J10	WI38_clone29
K10	WI38_clone30
L10	WI38_clone30
M10	WI38_clone31
N10	WI38_clone31
O10	WI38_clone32
P10	WI38_clone32
A11	WI38_clone25
B11	WI38_clone25
C11	WI38_clone26
D11	WI38_clone26
E11	WI38_clone27
F11	WI38_clone27
G11	WI38_clone28
H11	WI38_clone28
I11	WI38_clone29
J11	WI38_clone29
K11	WI38_clone30
L11	WI38_clone30
M11	WI38_clone31
N11	WI38_clone31
O11	WI38_clone32
P11	WI38_clone32
A12	WI38_clone25
B12	WI38_clone25
C12	WI38_clone26
D12	WI38_clone26
E12	WI38_clone27
F12	WI38_clone27
G12	WI38_clone28
H12	WI38_clone28
I12	WI38_clone29
J12	WI38_clone29
K12	WI38_clone30
L12	WI38_clone30
M12	WI38_clone31
N12	WI38_clone31
O12	WI38_clone32
P12	WI38_clone32
A13	WI38_clone33
B13	WI38_clone33
C13	WI38_clone34
D13	WI38_clone34
E13	WI38_clone35
F13	WI38_clone35
G13	WI38_clone36
H13	WI38_clone36
I13	WI38_clone37
J13	WI38_clone37
K13	WI38_clone38
L13	WI38_clone38
M13	WI38_clone39
N13	WI38_clone39
O13	WI38_clone40
P13	WI38_clone40
A14	WI38_clone33
B14	WI38_clone33
C14	WI38_clone34
D14	WI38_clone34
E14	WI38_clone35
F14	WI38_clone35
G14	WI38_clone36
H14	WI38_clone36
I14	WI38_clone37
J14	WI38_clone37
K14	WI38_clone38
L14	WI38_clone38
M14	WI38_clone39
N14	WI38_clone39
O14	WI38_clone40
P14	WI38_clone40
A15	WI38_clone33
B15	WI38_clone33
C15	WI38_clone34
D15	WI38_clone34
E15	WI38_clone35
F15	WI38_clone35
G15	WI38_clone36
H15	WI38_clone36
I15	WI38_clone37
J15	WI38_clone37
K15	WI38_clone38
L15	WI38_clone38
M15	WI38_clone39
N15	WI38_clone39
O15	WI38_clone40
P15	WI38_clone40
A16	WI38_clone41
B16	WI38_clone41
C16	WI38_clone42
D16	WI38_clone42
E16	WI38_clone43
F16	WI38_clone43
G16	WI38_clone44
H16	WI38_clone44
I16	WI38_clone45
J16	WI38_clone45
