well	ID
A19	lt1_2a7
B19	lt1_2b7
C19	lt1_2c7
D19	lt1_2d7
E19	lt1_2e7
F19	lt1_2f7
G19	lt1_2g7
H19	lt1_2h7
I19	lt1_4a7
J19	lt1_4b7
K19	lt1_4c7
L19	lt1_4d7
M19	lt1_4e7
N19	lt1_4f7
O19	lt1_4g7
P19	lt1_4h7
A20	lt1_2a8
B20	lt1_2b8
C20	lt1_2c8
D20	lt1_2d8
E20	lt1_2e8
F20	lt1_2f8
G20	lt1_2g8
H20	lt1_2h8
I20	lt1_4a8
J20	lt1_4b8
K20	lt1_4c8
L20	lt1_4d8
M20	lt1_4e8
N20	lt1_4f8
O20	lt1_4g8
P20	lt1_4h8
A21	lt1_2a9
B21	lt1_2b9
C21	lt1_2c9
D21	lt1_2d9
E21	lt1_2e9
F21	lt1_2f9
G21	lt1_2g9
H21	lt1_2h9
I21	lt1_4a9
J21	lt1_4b9
K21	lt1_4c9
L21	lt1_4d9
M21	lt1_4e9
N21	lt1_4f9
O21	lt1_4g9
P21	lt1_4h9
A22	lt1_2a10
B22	lt1_2b10
C22	lt1_2c10
D22	lt1_2d10
E22	lt1_2e10
F22	lt1_2f10
G22	lt1_2g10
H22	lt1_2h10
I22	lt1_4a10
J22	lt1_4b10
K22	lt1_4c10
L22	lt1_4d10
M22	lt1_4e10
N22	lt1_4f10
O22	lt1_4g10
P22	lt1_4h10
A23	lt1_2a11
B23	lt1_2b11_empty
C23	lt1_2c11
D23	lt1_2d11
E23	lt1_2e11
F23	lt1_2f11
G23	lt1_2g11
H23	lt1_2h11
I23	lt1_4a11
J23	lt1_4b11
K23	lt1_4c11
L23	lt1_4d11
M23	lt1_4e11
N23	lt1_4f11
O23	lt1_4g11
P23	lt1_4h11
A24	lt1_2a12
B24	lt1_2b12
C24	lt1_2c12
D24	lt1_2d12
E24	lt1_2e12
F24	lt1_2f12
G24	lt1_2g12
H24	lt1_2h12
I24	lt1_4a12
J24	lt1_4b12
K24	lt1_4c12
L24	lt1_4d12
M24	lt1_4e12
N24	lt1_4f12
O24	lt1_4g12
P24	lt1_4h12
