"","x"
"7SK",0.148596385898232
"A1BG",0.389560178498835
"A1BG-AS1",0.174191154037559
"A4GALT",0.102914932262807
"AAAS",0.756936389673059
"AAK1",3.07022129796913
"AANAT",0.000638274570459601
"AARS2",0.438835074348979
"AARSD1",0.609197219053579
"AATF",1.34087347629173
"AATK-AS1",0.000341167051969363
"AB075492",0.00730708763308001
"ABAT",0.0115374677727403
"ABCA10",0.00141340781248989
"ABCA17P",0.00122676678610053
"ABCA2",0.271165570656665
"ABCA3",0.00209803703626763
"ABCA5",0.0172108857426923
"ABCA8",0.0105674433722387
"ABCB6;ATG9A",1.46023707410232
"ABCB7",0.047683402872747
"ABCB8",0.223328285742895
"ABCC10",0.463083223180691
"ABCC12",0.000179550201607944
"ABCC3",0.173291224982448
"ABCC4",0.278127894042125
"ABCC5",0.259285418600132
"ABCC8",0.00231168975274166
"ABCD4",0.27499744678344
"ABCF1;MIR877",3.17571138711958
"ABCF2",1.57006349867246
"ABCF3",0.410252021740874
"ABCG2",0.0117051896113711
"ABCG4",0.00504263431502818
"ABHD10",0.062595269136881
"ABHD12",2.12134474869268
"ABHD16A;MIR4646",0.52635043194742
"ABHD1;AK074615",0.00295033634946612
"ABHD3",0.013902858819442
"ABHD4",0.783455298679886
"ABHD5",0.168599138181404
"ABHD6",0.230968989347079
"ABI2",0.358634148329789
"ABI3BP",0.0405925790544325
"ABL2",2.12906178743436
"ABLIM1",0.310315922936683
"ABLIM2",0.000320645183211581
"ABTB2",0.0767586166295912
"ACAA1",0.422784867304803
"ACAA2",0.562858106724594
"ACACA",0.597334327589557
"ACACB",0.00348899899038224
"ACAD10",0.163552436650239
"ACAD11;NPHP3-ACAD11",0.20717330582924
"ACAD8",0.13590776485177
"ACADS",0.0714281482172192
"ACAP1",0.0312704653750076
"ACAT1",0.600657660267205
"ACAT2",0.456269279457625
"ACBD3",1.00707661766069
"ACBD5",0.389751925709346
"ACBD6",1.16748704303139
"ACBD7",0.0188956566459001
"ACCN2",0.0738043284244868
"ACCN3",0.0160408213692943
"ACCN4",0.00277361067203887
"ACD",0.359913959299263
"ACE",0.00537957216305671
"ACER3",0.0361817656092594
"ACLY",1.76859775536663
"ACO2",1.15701474558608
"ACOT1",0.124593674809863
"ACOT11",0.0477688003300079
"ACOT13",0.417731991671026
"ACOT4",0.00168398491666777
"ACOT8",0.257241877682191
"ACOX1",0.475835707123154
"ACOX2",0.0325898309323644
"ACOX3",0.300442679083343
"ACP2",0.443038808141465
"ACP6",0.130237124651146
"ACRBP",0.000887737505995017
"ACSF3",0.309437563249063
"ACSL5",0.00579531536227374
"ACSS2",0.32819326503304
"ACSS3",0.00910456234468041
"ACTA1",0.00118497754949512
"ACTA2;FAS-AS1",1.47398103406665
"ACTB",11.4074066727858
"ACTG2",1.95384744918415
"ACTN3",0.00452031416250663
"ACTN4",15.2895396597074
"ACTR10",0.301248434745429
"ACTR1A",2.91044064629214
"ACTR6",0.0259921728571624
"ACTR8",0.411750861150245
"ACVR2B",0.0349210359342118
"ACYP1",0.158396553800362
"ADA",0.0931763650188855
"ADAM1",0.0460625211083007
"ADAM10",0.303790897260234
"ADAM15",0.391037156337438
"ADAM19;AL049415",1.01643824694176
"ADAM20",0.00398104200757157
"ADAM22",0.00075149598867306
"ADAM23",0.229771602062165
"ADAM28",0.000433555915986229
"ADAM9",0.469059155616007
"ADAMTS13",0.0163444454837083
"ADAMTS15",0.00373514560517282
"ADAMTS8",0.000187205938082497
"ADAMTSL4",0.0901963119106657
"ADAP2",0.0321214506348829
"ADAR",2.268055081864
"ADARB1",0.225981767444073
"ADAT1",0.256933191626298
"ADCK1",0.0825587452976926
"ADCK3",0.0679139974680701
"ADCK4",0.0908989937638905
"ADCK5",0.282788055323651
"ADCY5",0.00971833619926451
"ADCY7",0.169956440155284
"ADCY9",0.448269532008223
"ADH1C",0.000896213379625044
"ADH6",0.00526266844404294
"ADI1",1.98147465365527
"ADIPOR1",0.434093230098504
"ADIPOR2",0.744525616122011
"ADM2",0.0155598379343451
"ADNP2",0.402096221981784
"ADO",0.0335866239943339
"ADPRHL1",0.018257393785082
"ADRA1D",0.0228323626081033
"ADRB1",0.000392888494988591
"ADRBK1",0.802312468425215
"ADRM1",4.30797869262211
"ADSS",0.460001658843432
"AEBP1;MIR4649",0.556169202639999
"AEBP2",0.112773464246207
"AEN",1.21333187898889
"AES",6.18489647980068
"AF007147",0.00994472066166298
"AF020763",0.0054046100968738
"AF035281;LOC155060;ZNF783",0.233441102362346
"AF055024",0.000534407369391991
"AF070581",0.000158351546385171
"AF086102",0.000551042074147444
"AF086125",0.0013728414044146
"AF086132",0.0448378691318789
"AF086184",0.0481354180043879
"AF086285",0.00993888641945952
"AF086351",0.121487448035452
"AF113016",0.0851631819040047
"AF157115",0.0103147951575001
"AF161365",0.00293541119010962
"AF283776",0.00709107428732625
"AF520793",0.000258636497316846
"AFAP1",1.89609209540074
"AFF1",0.499455290414808
"AFF4",2.01816547329372
"AFMID",0.181148831237361
"AFP",0.0213027157551085
"AFTPH",0.077781808591618
"AGA",0.119575521657486
"AGAP3;AX747175",1.33017657487101
"AGBL2",0.0021663729735907
"AGBL3",0.001879551938022
"AGBL5",0.331513797937113
"AGFG1",0.944528818814408
"AGFG2",0.147891433620077
"AGGF1",0.366831664128654
"AGK",0.0959880687452939
"AGL",0.0794029825501073
"AGMAT",0.0251712880049943
"AGPAT1",0.326958855650369
"AGPAT2",0.816658840377414
"AGPAT4",0.221177074786785
"AGPAT4-IT1",0.0586886990586182
