"","gene","TAD"
"CDK19","CDK19","TAD_2920"
"CDK2","CDK2","TAD_776"
"CDK20","CDK20","TAD_3403"
"CDK2AP2","CDK2AP2","TAD_606"
"CDK3","CDK3","TAD_1484"
"CDK5","CDK5","TAD_3179"
"CDK5R2","CDK5R2","TAD_1962"
"CDK5RAP2","CDK5RAP2","TAD_3450"
"CDK5RAP3","CDK5RAP3","TAD_1440"
"CDK7","CDK7","TAD_2672"
"CDK8","CDK8","TAD_881"
"CDK9","CDK9","TAD_3464"
"CDKAL1","CDKAL1","TAD_2815"
"CDKL1","CDKL1","TAD_997"
"CDKL2","CDKL2","TAD_2502"
"CDKL3","CDKL3","TAD_2728"
"CDKL4","CDKL4","TAD_1745"
"CDKL5","CDKL5","TAD_3511"
"CDKN1A","CDKN1A","TAD_2844"
"CDKN2A","CDKN2A","TAD_3351"
"CDKN2AIPNL","CDKN2AIPNL","TAD_2728"
"CDKN2B","CDKN2B","TAD_3351"
"CDKN2B-AS1","CDKN2B-AS1","TAD_3351"
"CDKN2B_AS","CDKN2B_AS","TAD_3351"
"CDKN2C","CDKN2C","TAD_104"
"CDKN2D","CDKN2D","TAD_1606"
"CDO1","CDO1","TAD_2713"
"CDON","CDON","TAD_682"
"CDR1","CDR1","TAD_3657"
"CDR2L","CDR2L","TAD_1482"
"CDRT15","CDRT15","TAD_1371"
"CDRT15P1","CDRT15P1","TAD_1371"
"CDRT4","CDRT4","TAD_1373"
"CDRT7","CDRT7","TAD_1372"
"CDS1","CDS1","TAD_2513"
"CDS2","CDS2","TAD_1999"
"CDSN","CDSN","TAD_2828"
"CDT1","CDT1","TAD_1335"
"CDV3","CDV3","TAD_2356"
"CDX1","CDX1","TAD_2748"
"CDX2","CDX2","TAD_883"
"CDX4","CDX4","TAD_3570"
"CDY1","CDY1","TAD_3689"
"CDY2A","CDY2A","TAD_3688"
"CDY2B","CDY2B","TAD_3688"
"CDYL","CDYL","TAD_2797"
"CDYL2","CDYL2","TAD_1320"
"CEACAM1","CEACAM1","TAD_1663"
"CEACAM16","CEACAM16","TAD_1667"
"CEACAM18","CEACAM18","TAD_1689"
"CEACAM19","CEACAM19","TAD_1667"
"CEACAM21","CEACAM21","TAD_1660"
"CEACAM4","CEACAM4","TAD_1660"
"CEACAM5","CEACAM5","TAD_1660"
"CEACAM6","CEACAM6","TAD_1660"
"CEACAM7","CEACAM7","TAD_1660"
"CEBPA","CEBPA","TAD_1641"
"CEBPE","CEBPE","TAD_972"
"CEBPG","CEBPG","TAD_1641"
"CEBPZ","CEBPZ","TAD_1742"
"CECR1","CECR1","TAD_2149"
"CECR2","CECR2","TAD_2149"
"CECR3","CECR3","TAD_2149"
"CECR5","CECR5","TAD_2149"
"CECR5-AS1","CECR5-AS1","TAD_2149"
"CECR6","CECR6","TAD_2149"
"CELA1","CELA1","TAD_766"
"CELF1","CELF1","TAD_570"
"CELF2","CELF2","TAD_351"
"CELF3","CELF3","TAD_213"
"CELF4","CELF4","TAD_1535"
"CELP","CELP","TAD_3478"
"CELSR1","CELSR1","TAD_2213"
"CELSR2","CELSR2","TAD_169"
"CELSR3","CELSR3","TAD_2272"
"CENPB","CENPB","TAD_1998"
"CENPH","CENPH","TAD_2672"
"CENPI","CENPI","TAD_3614"
"CENPJ","CENPJ","TAD_878"
"CENPL","CENPL","TAD_245"
"CENPP","CENPP","TAD_3412"
"CENPT","CENPT","TAD_1297"
"CENPV","CENPV","TAD_1375"
"CENPVL1","CENPVL1","TAD_3540"
"CENPW","CENPW","TAD_2936"
"CEP112","CEP112","TAD_1467"
"CEP120","CEP120","TAD_2718"
"CEP128","CEP128","TAD_1036"
"CEP135","CEP135","TAD_2487"
"CEP152","CEP152","TAD_1119"
"CEP19","CEP19","TAD_2425"
"CEP350","CEP350","TAD_254"
"CEP41","CEP41","TAD_3151"
"CEP44","CEP44","TAD_2584"
"CEP55","CEP55","TAD_456"
"CEP68","CEP68","TAD_1777"
"CEP70","CEP70","TAD_2363"
"CEP72","CEP72","TAD_2602"
"CEP78","CEP78","TAD_3393"
"CEP85","CEP85","TAD_59"
"CEP85L","CEP85L","TAD_2927"
"CEP89","CEP89","TAD_1639"
"CEPT1","CEPT1","TAD_172"
"CER1","CER1","TAD_3343"
"CERCAM","CERCAM","TAD_3466"
"CERK","CERK","TAD_2213"
"CERKL","CERKL","TAD_1927"
"CERS2","CERS2","TAD_210"
"CERS3","CERS3","TAD_1191"
"CERS4","CERS4","TAD_1600"
"CERS5","CERS5","TAD_764"
"CERS6","CERS6","TAD_1911"
"CES1","CES1","TAD_1288"
"CES1P1","CES1P1","TAD_1288"
"CES1P2","CES1P2","TAD_1288"
"CES3","CES3","TAD_1295"
"CES4A","CES4A","TAD_1295"
"CETN1","CETN1","TAD_1502"
"CETN3","CETN3","TAD_2692"
"CETN4P","CETN4P","TAD_2548"
"CETP","CETP","TAD_1290"
"CFB","CFB","TAD_2831"
"CFC1","CFC1","TAD_1874"
"CFC1B","CFC1B","TAD_1875"
"CFD","CFD","TAD_1578"
"CFDP1","CFDP1","TAD_1314"
"CFH","CFH","TAD_265"
"CFHR2","CFHR2","TAD_266"
"CFHR5","CFHR5","TAD_267"
"CFI","CFI","TAD_2536"
"CFL1","CFL1","TAD_603"
"CFL2","CFL2","TAD_985"
"CFLAR","CFLAR","TAD_1943"
"CFLAR-AS1","CFLAR-AS1","TAD_1943"
"CFP","CFP","TAD_3533"
"CFTR","CFTR","TAD_3143"
"CG030","CG030","TAD_889"
"CGGBP1","CGGBP1","TAD_2310"
"CGN","CGN","TAD_213"
"CGNL1;AL110171","CGNL1;AL110171","TAD_1127"
"CGREF1","CGREF1","TAD_1732"
"CH25H","CH25H","TAD_449"
"CHAC1","CHAC1","TAD_1108"
"CHADL","CHADL","TAD_2202"
"CHAT","CHAT","TAD_406"
"CHCHD10","CHCHD10","TAD_2166"
"CHCHD3","CHCHD3","TAD_3157"
"CHCHD4","CHCHD4","TAD_2236"
"CHCHD6","CHCHD6","TAD_2346"
"CHCHD7","CHCHD7","TAD_3261"
"CHCHD8","CHCHD8","TAD_621"
"CHD1L","CHD1L","TAD_201"
"CHD2","CHD2","TAD_1185"
"CHD3","CHD3","TAD_1360"
"CHD4","CHD4","TAD_710"
"CHD5","CHD5","TAD_14"
"CHD6","CHD6","TAD_2052"
"CHD7","CHD7","TAD_3264"
"CHD8","CHD8","TAD_968"
"CHDH","CHDH","TAD_2285"
"CHEK1","CHEK1","TAD_681"
"CHEK2","CHEK2","TAD_2178"
"CHEK2P2","CHEK2P2","TAD_1071"
"CHERP","CHERP","TAD_1621"
"CHGA","CHGA","TAD_1047"
"CHGB","CHGB","TAD_2001"
"CHI3L1;BC034684","CHI3L1;BC034684","TAD_276"
"CHI3L2","CHI3L2","TAD_172"
"CHIA","CHIA","TAD_172"
"CHIC1","CHIC1","TAD_3570"
"CHIC2","CHIC2","TAD_2484"
"CHIT1","CHIT1","TAD_276"
"CHKA","CHKA","TAD_607"
"CHKB","CHKB","TAD_2217"
"CHKB-CPT1B","CHKB-CPT1B","TAD_2217"
"CHL1","CHL1","TAD_2220"
"CHM","CHM","TAD_3581"
"CHML","CHML","TAD_330"
"CHMP1B","CHMP1B","TAD_1512"
"CHMP2B","CHMP2B","TAD_2310"
"CHMP3","CHMP3","TAD_1800"
"CHMP4A","CHMP4A","TAD_974"
"CHMP4B","CHMP4B","TAD_2037"
"CHMP7","CHMP7","TAD_3225"
"CHN1","CHN1","TAD_1920"
"CHN2","CHN2","TAD_3021"
"CHODL-AS1","CHODL-AS1","TAD_2113"
"CHP","CHP","TAD_1108"
"CHPF","CHPF","TAD_1963"
"CHPF2;MIR671","CHPF2;MIR671","TAD_3179"
"CHPT1","CHPT1","TAD_820"
"CHRAC1","CHRAC1","TAD_3326"
"CHRDL1","CHRDL1","TAD_3629"
"CHRDL2","CHRDL2","TAD_622"
"CHRM2","CHRM2","TAD_3159"
"CHRM3","CHRM3","TAD_329"
"CHRNA1","CHRNA1","TAD_1920"
"CHRNA2","CHRNA2","TAD_3232"
"CHRNA3","CHRNA3","TAD_1165"
"CHRNA4","CHRNA4","TAD_2093"
"CHRNA5","CHRNA5","TAD_1165"
"CHRNA6","CHRNA6","TAD_3249"
"CHRNA7;DQ786280;CHRFAM7A","CHRNA7;DQ786280;CHRFAM7A","TAD_1092"
"CHRNA9","CHRNA9","TAD_2474"
"CHRNB1","CHRNB1","TAD_1358"
"CHRNB2","CHRNB2","TAD_217"
"CHRNB3","CHRNB3","TAD_3249"
"CHRNB4","CHRNB4","TAD_1165"
"CHRNE","CHRNE","TAD_1352"
"CHST1","CHST1","TAD_565"
"CHST10","CHST10","TAD_1833"
"CHST11","CHST11","TAD_822"
"CHST13","CHST13","TAD_2346"
"CHST14","CHST14","TAD_1106"
"CHST15","CHST15","TAD_495"
"CHST3","CHST3","TAD_429"
"CHST4","CHST4","TAD_1309"
"CHST5","CHST5","TAD_1315"
"CHST6","CHST6","TAD_1315"
"CHST7","CHST7","TAD_3532"
"CHST8","CHST8","TAD_1642"
"CHST9","CHST9","TAD_1529"
"CHST9-AS1","CHST9-AS1","TAD_1529"
"CHSY1","CHSY1","TAD_1192"
"CHSY3","CHSY3","TAD_2724"
"CHTF18","CHTF18","TAD_1198"
"CHTOP;DKFZp564E1082","CHTOP;DKFZp564E1082","TAD_216"
"CHURC1","CHURC1","TAD_1014"
"CIAO1","CIAO1","TAD_1825"
"CIAPIN1","CIAPIN1","TAD_1290"
"CIB1","CIB1","TAD_1182"
"CIB2","CIB2","TAD_1164"
"CIB3","CIB3","TAD_1619"
"CIB4","CIB4","TAD_1731"
"CIC","CIC","TAD_1662"
"CIDEB","CIDEB","TAD_974"
"CIDEC","CIDEC","TAD_2228"
"CIITA","CIITA","TAD_1217"
"CILP","CILP","TAD_1140"
"CINP","CINP","TAD_1060"
"CISD1","CISD1","TAD_415"
"CISD2","CISD2","TAD_2528"
"CISD3","CISD3","TAD_1415"
"CISH","CISH","TAD_2278"
"CITED1","CITED1","TAD_3568"
"CITED4","CITED4","TAD_88"
"CKAP2","CKAP2","TAD_916"
"CKAP2L","CKAP2L","TAD_1859"
"CKAP4","CKAP4","TAD_825"
"CKAP5","CKAP5","TAD_567"
"CKLF","CKLF","TAD_1294"
"CKLF-CMTM1","CKLF-CMTM1","TAD_1294"
"CKM","CKM","TAD_1668"
"CLASP1","CLASP1","TAD_1868"
"CLASP2","CLASP2","TAD_2253"
"CLASRP","CLASRP","TAD_1668"
"CLC","CLC","TAD_1654"
"CLCA1","CLCA1","TAD_142"
"CLCA2","CLCA2","TAD_142"
"CLCA3P","CLCA3P","TAD_142"
"CLCA4","CLCA4","TAD_142"
"CLCC1","CLCC1","TAD_169"
"CLCF1","CLCF1","TAD_606"
"CLCN1","CLCN1","TAD_3168"
"CLCN5","CLCN5","TAD_3538"
"CLCN6","CLCN6","TAD_26"
"CLCN7","CLCN7","TAD_1200"
"CLDN1","CLDN1","TAD_2415"
"CLDN10","CLDN10","TAD_935"
"CLDN11","CLDN11","TAD_2392"
"CLDN12","CLDN12","TAD_3105"
"CLDN14","CLDN14","TAD_2129"
"CLDN15","CLDN15","TAD_3122"
"CLDN16","CLDN16","TAD_2415"
"CLDN17","CLDN17","TAD_2119"
"CLDN19","CLDN19","TAD_91"
"CLDN2","CLDN2","TAD_3625"
"CLDN22","CLDN22","TAD_2590"
"CLDN23","CLDN23","TAD_3203"
"CLDN24","CLDN24","TAD_2590"
"CLDN25","CLDN25","TAD_659"
"CLDN3","CLDN3","TAD_3081"
"CLDN5","CLDN5","TAD_2153"
"CLDN8","CLDN8","TAD_2119"
"CLDND1","CLDND1","TAD_2316"
"CLDND2","CLDND2","TAD_1689"
"CLEC10A","CLEC10A","TAD_1357"
"CLEC11A","CLEC11A","TAD_1688"
"CLEC12A","CLEC12A","TAD_717"
"CLEC12B","CLEC12B","TAD_717"
"CLEC14A","CLEC14A","TAD_989"
"CLEC1A","CLEC1A","TAD_717"
"CLEC1B","CLEC1B","TAD_717"
"CLEC2A","CLEC2A","TAD_717"
"CLEC2B","CLEC2B","TAD_717"
"CLEC2D","CLEC2D","TAD_717"
"CLEC2L","CLEC2L","TAD_3162"
"CLEC3A","CLEC3A","TAD_1318"
"CLEC4C","CLEC4C","TAD_713"
"CLEC4F","CLEC4F","TAD_1785"
"CLEC4G","CLEC4G","TAD_1599"
"CLEC4GP1","CLEC4GP1","TAD_1599"
"CLEC4M","CLEC4M","TAD_1599"
"CLEC5A","CLEC5A","TAD_3165"
"CLEC7A","CLEC7A","TAD_717"
"CLEC9A","CLEC9A","TAD_717"
"CLECL1","CLECL1","TAD_717"
"CLGN","CLGN","TAD_2555"
"CLIC1","CLIC1","TAD_2831"
"CLIC2","CLIC2","TAD_3680"
"CLIC3","CLIC3","TAD_3485"
"CLIC4;Z24749","CLIC4;Z24749","TAD_56"
"CLIC5","CLIC5","TAD_2859"
"CLINT1","CLINT1","TAD_2757"
"CLIP2","CLIP2","TAD_3082"
"CLIP3","CLIP3","TAD_1648"
"CLIP4","CLIP4","TAD_1736"
"CLK2P","CLK2P","TAD_3013"
"CLK3","CLK3","TAD_1158"
"CLK4;AK309215","CLK4;AK309215","TAD_2781"
"CLLU1","CLLU1","TAD_810"
"CLLU1OS","CLLU1OS","TAD_810"
"CLMN","CLMN","TAD_1050"
"CLN3","CLN3","TAD_1256"
"CLN8","CLN8","TAD_3195"
"CLNK","CLNK","TAD_2449"
"CLOCK","CLOCK","TAD_2486"
"CLPB","CLPB","TAD_617"
"CLPP","CLPP","TAD_1595"
"CLPX","CLPX","TAD_1140"
"CLRN1","CLRN1","TAD_2376"
"CLRN1-AS1","CLRN1-AS1","TAD_2376"
"CLRN3","CLRN3","TAD_501"
"CLSPN","CLSPN","TAD_79"
"CLSTN1","CLSTN1","TAD_22"
"CLSTN2","CLSTN2","TAD_2365"
"CLSTN3","CLSTN3","TAD_711"
"CLTA","CLTA","TAD_3364"
"CLTCL1","CLTCL1","TAD_2153"
"CLU","CLU","TAD_3232"
"CLUL1","CLUL1","TAD_1502"
"CLVS1","CLVS1","TAD_3265"
"CLVS2","CLVS2","TAD_2932"
"CLYBL","CLYBL","TAD_940"
"CMAHP","CMAHP","TAD_2818"
"CMAS","CMAS","TAD_728"
"CMBL","CMBL","TAD_2611"
"CMC1","CMC1","TAD_2247"
"CMIP","CMIP","TAD_1322"
"CMKLR1","CMKLR1","TAD_828"
"CMPK1","CMPK1","TAD_100"
"CMTM1","CMTM1","TAD_1294"
"CMTM2","CMTM2","TAD_1294"
"CMTM3","CMTM3","TAD_1294"
"CMTM4;DQ577440","CMTM4;DQ577440","TAD_1294"
"CMTM5","CMTM5","TAD_972"
"CMTM6","CMTM6","TAD_2251"
"CMTM7","CMTM7","TAD_2251"
"CMTM8","CMTM8","TAD_2251"
"CMYA5","CMYA5","TAD_2684"
"CN5H6.4","CN5H6.4","TAD_2212"
"CNBD1","CNBD1","TAD_3283"
"CNBP","CNBP","TAD_2350"
"CNDP1","CNDP1","TAD_1568"
"CNDP2","CNDP2","TAD_1568"
"CNGA1","CNGA1","TAD_2480"
"CNGA3","CNGA3","TAD_1831"
"CNGA4","CNGA4","TAD_524"
"CNGB1","CNGB1","TAD_1291"
"CNIH3","CNIH3","TAD_311"
"CNIH4","CNIH4","TAD_310"
"CNKSR1","CNKSR1","TAD_59"
"CNKSR2","CNKSR2","TAD_3514"
"CNKSR3","CNKSR3","TAD_2969"
"CNN3","CNN3","TAD_153"
"CNNM2","CNNM2","TAD_474"
"CNNM3","CNNM3","TAD_1826"
"CNNM4","CNNM4","TAD_1826"
"CNO","CNO","TAD_2441"
"CNOT1","CNOT1","TAD_1292"
"CNOT2","CNOT2","TAD_794"
"CNOT4","CNOT4","TAD_3158"
"CNOT6","CNOT6","TAD_2784"
"CNOT6L","CNOT6L","TAD_2504"
"CNOT8","CNOT8","TAD_2755"
"CNP;DQ581677","CNP;DQ581677","TAD_1423"
"CNPPD1","CNPPD1","TAD_1962"
"CNPY1","CNPY1","TAD_3186"
"CNPY2;PAN2","CNPY2;PAN2","TAD_777"
"CNPY4","CNPY4","TAD_3119"
"CNR1","CNR1","TAD_2900"
"CNR2","CNR2","TAD_52"
"CNRIP1;BC035125","CNRIP1;BC035125","TAD_1780"
"CNST","CNST","TAD_337"
"CNTD1","CNTD1","TAD_1424"
"CNTD2","CNTD2","TAD_1655"
"CNTF","CNTF","TAD_584"
"CNTFR","CNTFR","TAD_3360"
"CNTLN","CNTLN","TAD_3345"
"CNTN1","CNTN1","TAD_749"
"CNTN2","CNTN2","TAD_280"
"CNTN3","CNTN3","TAD_2306"
"CNTN4","CNTN4","TAD_2220"
"CNTN5","CNTN5","TAD_648"
"CNTN6","CNTN6","TAD_2220"
"CNTNAP1","CNTNAP1","TAD_1424"
"CNTNAP2","CNTNAP2","TAD_3174"
"CNTNAP3","CNTNAP3","TAD_3368"
"CNTNAP3B","CNTNAP3B","TAD_3371"
"CNTNAP4","CNTNAP4","TAD_1317"
"CNTNAP5","CNTNAP5","TAD_1869"
"CNTRL","CNTRL","TAD_3451"
"CNTROB","CNTROB","TAD_1360"
"CO9","CO9","TAD_3049"
"COBL","COBL","TAD_3045"
"COBLL1","COBLL1","TAD_1908"
"COBRA1","COBRA1","TAD_3485"
"COG2","COG2","TAD_320"
"COG4","COG4","TAD_1304"
"COG5","COG5","TAD_3135"
"COG7","COG7","TAD_1249"
"COIL","COIL","TAD_1449"
"COL10A1","COL10A1","TAD_2925"
"COL11A1","COL11A1","TAD_160"
"COL11A2","COL11A2","TAD_2836"
"COL12A1","COL12A1","TAD_2889"
"COL13A1","COL13A1","TAD_425"
"COL14A1","COL14A1","TAD_3308"
"COL15A1","COL15A1","TAD_3427"
"COL16A1","COL16A1","TAD_72"
"COL17A1;MIR936","COL17A1;MIR936","TAD_476"
"COL18A1","COL18A1","TAD_2142"
"COL18A1-AS1","COL18A1-AS1","TAD_2142"
"COL19A1","COL19A1","TAD_2886"
"COL1A1","COL1A1","TAD_1443"
"COL1A2","COL1A2","TAD_3110"
"COL20A1","COL20A1","TAD_2093"
"COL21A1","COL21A1","TAD_2872"
"COL22A1","COL22A1","TAD_3325"
"COL24A1","COL24A1","TAD_142"
"COL25A1","COL25A1","TAD_2535"
"COL27A1","COL27A1","TAD_3446"
"COL28A1","COL28A1","TAD_3003"
"COL2A1","COL2A1","TAD_757"
"COL3A1","COL3A1","TAD_1934"
"COL4A2","COL4A2","TAD_949"
"COL4A3","COL4A3","TAD_1968"
"COL4A3BP","COL4A3BP","TAD_2681"
"COL4A4","COL4A4","TAD_1968"
"COL4A5","COL4A5","TAD_3626"
"COL5A1","COL5A1","TAD_3482"
"COL5A2","COL5A2","TAD_1934"
"COL5A3","COL5A3","TAD_1604"
"COL6A1","COL6A1","TAD_2144"
"COL6A2;DKFZp586E1322","COL6A2;DKFZp586E1322","TAD_2144"
"COL6A3","COL6A3","TAD_1983"
"COL6A4P1","COL6A4P1","TAD_2238"
"COL6A5","COL6A5","TAD_2353"
"COL6A6","COL6A6","TAD_2353"
"COL7A1","COL7A1","TAD_2272"
"COL8A1","COL8A1","TAD_2318"
"COL9A1","COL9A1","TAD_2886"
"COL9A2","COL9A2","TAD_87"
"COLEC10","COLEC10","TAD_3307"
"COLEC11","COLEC11","TAD_1706"
"COLEC12","COLEC12","TAD_1502"
"COLQ;HACL1","COLQ;HACL1","TAD_2238"
"COMMD2","COMMD2","TAD_2372"
"COMMD3","COMMD3","TAD_367"
"COMMD3-BMI1","COMMD3-BMI1","TAD_367"
"COMMD5","COMMD5","TAD_3332"
"COMMD6","COMMD6","TAD_926"
"COMMD7","COMMD7","TAD_2034"
"COMMD8","COMMD8","TAD_2480"
"COMP","COMP","TAD_1626"
"COPA","COPA","TAD_229"
"COPB1;PSMA1","COPB1;PSMA1","TAD_537"
"COPG","COPG","TAD_2350"
"COPS2","COPS2","TAD_1120"
"COPS4","COPS4","TAD_2511"
"COPS5","COPS5","TAD_3269"
"COPS6","COPS6","TAD_3119"
"COPS7A","COPS7A","TAD_710"
"COPZ1","COPZ1","TAD_774"
"COQ10A","COQ10A","TAD_777"
"COQ10B","COQ10B","TAD_1940"
"COQ2","COQ2","TAD_2511"
"COQ3","COQ3","TAD_2909"
"COQ4","COQ4","TAD_3466"
"COQ5","COQ5","TAD_849"
"COQ6","COQ6","TAD_1028"
"COQ7","COQ7","TAD_1237"
"COQ9","COQ9","TAD_1290"
"CORIN","CORIN","TAD_2480"
"CORO1A;LOC606724","CORO1A;LOC606724","TAD_1260"
"CORO1B","CORO1B","TAD_606"
"CORO1C","CORO1C","TAD_829"
"CORO2A","CORO2A","TAD_3425"
"CORO2B","CORO2B","TAD_1148"
"CORO7-PAM16;CORO7","CORO7-PAM16;CORO7","TAD_1207"
"COTL1","COTL1","TAD_1326"
"COX10","COX10","TAD_1371"
"COX15","COX15","TAD_466"
"COX16","COX16","TAD_1022"
"COX17;AK095366","COX17;AK095366","TAD_2337"
"COX19","COX19","TAD_2990"
"COX5A","COX5A","TAD_1158"
"COX6A1","COX6A1","TAD_849"
"COX6A2","COX6A2","TAD_1266"
"COX6B1","COX6B1","TAD_1648"
"COX6B2;FAM71E2","COX6B2;FAM71E2","TAD_1697"
"COX6C;DL491896","COX6C;DL491896","TAD_3294"
"COX7A2L","COX7A2L","TAD_1750"
"COX7B","COX7B","TAD_3574"
"COX7B2","COX7B2","TAD_2480"
"COX7C","COX7C","TAD_2689"
"COX8A","COX8A","TAD_597"
"COX8C","COX8C","TAD_1048"
"CP","CP","TAD_2371"
"CPA1","CPA1","TAD_3151"
"CPA2","CPA2","TAD_3151"
"CPA3","CPA3","TAD_2370"
"CPA4","CPA4","TAD_3151"
"CPA5","CPA5","TAD_3151"
"CPA6","CPA6","TAD_3269"
"CPAMD8","CPAMD8","TAD_1622"
"CPB1","CPB1","TAD_2370"
"CPB2","CPB2","TAD_906"
"CPD","CPD","TAD_1399"
"CPE","CPE","TAD_2577"
"CPEB2","CPEB2","TAD_2454"
"CPEB3_ribozyme","CPEB3_ribozyme","TAD_454"
"CPEB4","CPEB4","TAD_2769"
"CPLX1","CPLX1","TAD_2432"
"CPLX2;Hfb1","CPLX2;Hfb1","TAD_2772"
"CPLX3","CPLX3","TAD_1158"
"CPLX4","CPLX4","TAD_1557"
"CPN1","CPN1","TAD_467"
"CPNE1","CPNE1","TAD_2042"
"CPNE2","CPNE2","TAD_1290"
"CPNE4","CPNE4","TAD_2354"
"CPNE5","CPNE5","TAD_2844"
"CPNE8","CPNE8","TAD_748"
"CPNE9","CPNE9","TAD_2227"
"CPO","CPO","TAD_1951"
"CPOX","CPOX","TAD_2316"
"CPPED1","CPPED1","TAD_1221"
"CPS1","CPS1","TAD_1954"
"CPS1-IT1","CPS1-IT1","TAD_1954"
"CPSF1;MIR939;MIR1234","CPSF1;MIR939;MIR1234","TAD_3331"
"CPSF4L","CPSF4L","TAD_1480"
"CPSF6","CPSF6","TAD_792"
"CPT1A","CPT1A","TAD_609"
"CPT1B","CPT1B","TAD_2217"
"CPVL","CPVL","TAD_3021"
"CPXCR1","CPXCR1","TAD_3582"
"CPXM1","CPXM1","TAD_1996"
"CPXM2","CPXM2","TAD_494"
"CPZ","CPZ","TAD_2444"
"CR1","CR1","TAD_287"
"CR1L","CR1L","TAD_288"
"CR2","CR2","TAD_287"
"CR627135","CR627135","TAD_1632"
"CR627148","CR627148","TAD_3373"
"CR627203","CR627203","TAD_133"
"CR627240","CR627240","TAD_3352"
"CR627394","CR627394","TAD_3575"
"CR749695;STARD7","CR749695;STARD7","TAD_1825"
"CR933638","CR933638","TAD_2791"
"CR936633","CR936633","TAD_2175"
"CR936677","CR936677","TAD_134"
"CR936688","CR936688","TAD_2456"
"CR936711","CR936711","TAD_263"
"CRABP1","CRABP1","TAD_1165"
"CRABP2","CRABP2","TAD_223"
"CRADD","CRADD","TAD_812"
"CRAMP1L","CRAMP1L","TAD_1200"
"CRB1","CRB1","TAD_267"
"CRB2","CRB2","TAD_3456"
"CRB3","CRB3","TAD_1595"
"CRBN","CRBN","TAD_2220"
"CRCP","CRCP","TAD_3074"
"CRCT1","CRCT1","TAD_215"
"CREB3","CREB3","TAD_3364"
"CREB3L1","CREB3L1","TAD_566"
"CREB3L2","CREB3L2","TAD_3160"
"CREB3L3","CREB3L3","TAD_1589"
"CREB3L4","CREB3L4","TAD_216"
"CREB5","CREB5","TAD_3020"
"CREBBP","CREBBP","TAD_1206"
"CREBL2","CREBL2","TAD_722"
"CREG1","CREG1","TAD_240"
"CREG2","CREG2","TAD_1836"
"CRELD1","CRELD1","TAD_2228"
"CRELD2","CRELD2","TAD_2216"
"CREM","CREM","TAD_380"
"CRH","CRH","TAD_3268"
"CRHBP","CRHBP","TAD_2682"
"CRHR1","CRHR1","TAD_1434"
"CRHR2","CRHR2","TAD_3024"
"CRIM1","CRIM1","TAD_1742"
"CRIP1","CRIP1","TAD_1064"
"CRIP2","CRIP2","TAD_1064"
"CRIP3","CRIP3","TAD_2856"
"CRIPAK","CRIPAK","TAD_2433"
"CRIPT","CRIPT","TAD_1757"
"CRISP1","CRISP1","TAD_2863"
"CRISP2","CRISP2","TAD_2863"
"CRISP3","CRISP3","TAD_2863"
"CRISPLD1","CRISPLD1","TAD_3274"
"CRISPLD2","CRISPLD2","TAD_1327"
"CRISPR_DR35","CRISPR_DR35","TAD_2949"
"CRK","CRK","TAD_1344"
"CRKL;BC033281","CRKL;BC033281","TAD_2159"
"CRLF1","CRLF1","TAD_1626"
"CRLF2","CRLF2","TAD_3489"
"CRLS1","CRLS1","TAD_2001"
"CRMP1","CRMP1","TAD_2440"
"CRNDE","CRNDE","TAD_1288"
"CRNN","CRNN","TAD_215"
"CROCC","CROCC","TAD_36"
"CROT","CROT","TAD_3103"
"CRP","CRP","TAD_227"
"CRSP8P","CRSP8P","TAD_2684"
"CRTAC1","CRTAC1","TAD_463"
"CRTAM","CRTAM","TAD_677"
"CRTAP","CRTAP","TAD_2252"
"CRTC1","CRTC1","TAD_1626"
"CRTC2","CRTC2","TAD_216"
"CRTC3","CRTC3","TAD_1183"
"CRYAB","CRYAB","TAD_657"
"CRYBA1","CRYBA1","TAD_1397"
"CRYBA2","CRYBA2","TAD_1962"
"CRYBA4","CRYBA4","TAD_2174"
"CRYBB1","CRYBB1","TAD_2174"
"CRYBB2P1","CRYBB2P1","TAD_2172"
"CRYBB3","CRYBB3","TAD_2170"
"CRYBG3","CRYBG3","TAD_2316"
"CRYGA","CRYGA","TAD_1953"
"CRYGB","CRYGB","TAD_1953"
"CRYGC","CRYGC","TAD_1953"
"CRYGD","CRYGD","TAD_1953"
"CRYGN","CRYGN","TAD_3179"
"CRYGS","CRYGS","TAD_2411"
"CRYL1","CRYL1","TAD_869"
"CRYM","CRYM","TAD_1240"
"CRYZ","CRYZ","TAD_133"
"CS","CS","TAD_777"
"CS330190","CS330190","TAD_507"
"CS706497","CS706497","TAD_3606"
"CSAD","CSAD","TAD_771"
"CSAG3","CSAG3","TAD_3671"
"CSDA","CSDA","TAD_718"
"CSDAP1","CSDAP1","TAD_1267"
"CSDE1","CSDE1","TAD_180"
"CSF1","CSF1","TAD_169"
"CSF1R","CSF1R","TAD_2748"
"CSF2","CSF2","TAD_2726"
"CSF2RA","CSF2RA","TAD_3489"
"CSF2RB","CSF2RB","TAD_2190"
"CSF3","CSF3","TAD_1419"
"CSGALNACT1","CSGALNACT1","TAD_3217"
"CSGALNACT2","CSGALNACT2","TAD_392"
"CSK","CSK","TAD_1158"
"CSMD1","CSMD1","TAD_3196"
"CSMD2","CSMD2","TAD_76"
"CSMD3","CSMD3","TAD_3307"
"CSN1S1","CSN1S1","TAD_2493"
