"","gene","TAD"
"ACOT8","ACOT8","TAD_2060"
"ACOX1","ACOX1","TAD_1484"
"ACOX2","ACOX2","TAD_2290"
"ACOX3","ACOX3","TAD_2443"
"ACOXL","ACOXL","TAD_1853"
"ACP1","ACP1","TAD_1704"
"ACP2","ACP2","TAD_569"
"ACP6","ACP6","TAD_201"
"ACPP","ACPP","TAD_2354"
"ACPT","ACPT","TAD_1688"
"ACRBP","ACRBP","TAD_710"
"ACRC","ACRC","TAD_3565"
"ACRV1","ACRV1","TAD_681"
"ACSBG1","ACSBG1","TAD_1164"
"ACSBG2","ACSBG2","TAD_1595"
"ACSF3","ACSF3","TAD_1336"
"ACSL3","ACSL3","TAD_1965"
"ACSL4","ACSL4","TAD_3627"
"ACSL5","ACSL5","TAD_481"
"ACSL6","ACSL6","TAD_2726"
"ACSM4","ACSM4","TAD_712"
"ACSS1","ACSS1","TAD_2024"
"ACSS2","ACSS2","TAD_2040"
"ACSS3","ACSS3","TAD_802"
"ACTA1","ACTA1","TAD_318"
"ACTA2;FAS-AS1","ACTA2;FAS-AS1","TAD_449"
"ACTB","ACTB","TAD_2999"
"ACTBL2","ACTBL2","TAD_2661"
"ACTC1","ACTC1","TAD_1102"
"ACTG2","ACTG2","TAD_1789"
"ACTL6B","ACTL6B","TAD_3120"
"ACTL7A","ACTL7A","TAD_3436"
"ACTL7B","ACTL7B","TAD_3436"
"ACTL8","ACTL8","TAD_39"
"ACTN2","ACTN2","TAD_329"
"ACTN3","ACTN3","TAD_605"
"ACTN4","ACTN4","TAD_1652"
"ACTR10","ACTR10","TAD_1006"
"ACTR1A","ACTR1A","TAD_473"
"ACTR3","ACTR3","TAD_1861"
"ACTR3BP5","ACTR3BP5","TAD_384"
"ACTR5","ACTR5","TAD_2050"
"ACTR6","ACTR6","TAD_819"
"ACTR8","ACTR8","TAD_2285"
"ACTRT1","ACTRT1","TAD_3643"
"ACTRT2","ACTRT2","TAD_10"
"ACVR1","ACVR1","TAD_1902"
"ACVR1B","ACVR1B","TAD_768"
"ACVR1C","ACVR1C","TAD_1902"
"ACVR2A","ACVR2A","TAD_1890"
"ACVR2B","ACVR2B","TAD_2258"
"ACVRL1","ACVRL1","TAD_768"
"ACYP1","ACYP1","TAD_1030"
"ACYP2","ACYP2","TAD_1766"
"ADA","ADA","TAD_2057"
"ADAD1","ADAD1","TAD_2548"
"ADAD2","ADAD2","TAD_1325"
"ADAM1","ADAM1","TAD_835"
"ADAM10","ADAM10","TAD_1128"
"ADAM12","ADAM12","TAD_499"
"ADAM15","ADAM15","TAD_218"
"ADAM18","ADAM18","TAD_3245"
"ADAM19;AL049415","ADAM19;AL049415","TAD_2756"
"ADAM2","ADAM2","TAD_3245"
"ADAM20","ADAM20","TAD_1022"
"ADAM21","ADAM21","TAD_1022"
"ADAM21P1","ADAM21P1","TAD_1022"
"ADAM22","ADAM22","TAD_3103"
"ADAM23","ADAM23","TAD_1951"
"ADAM28","ADAM28","TAD_3226"
"ADAM29","ADAM29","TAD_2585"
"ADAM30","ADAM30","TAD_186"
"ADAM32","ADAM32","TAD_3245"
"ADAM3A","ADAM3A","TAD_3245"
"ADAM5P","ADAM5P","TAD_3245"
"ADAM7","ADAM7","TAD_3226"
"ADAM9","ADAM9","TAD_3244"
"ADAMDEC1","ADAMDEC1","TAD_3226"
"ADAMTS1","ADAMTS1","TAD_2116"
"ADAMTS12","ADAMTS12","TAD_2631"
"ADAMTS13","ADAMTS13","TAD_3478"
"ADAMTS14","ADAMTS14","TAD_427"
"ADAMTS15","ADAMTS15","TAD_690"
"ADAMTS16","ADAMTS16","TAD_2606"
"ADAMTS17","ADAMTS17","TAD_1191"
"ADAMTS18","ADAMTS18","TAD_1318"
"ADAMTS19","ADAMTS19","TAD_2724"
"ADAMTS20","ADAMTS20","TAD_750"
"ADAMTS3","ADAMTS3","TAD_2496"
"ADAMTS5","ADAMTS5","TAD_2116"
"ADAMTS6","ADAMTS6","TAD_2667"
"ADAMTS8","ADAMTS8","TAD_690"
"ADAMTS9-AS2","ADAMTS9-AS2","TAD_2296"
"ADAMTSL1;DKFZp686L03130","ADAMTSL1;DKFZp686L03130","TAD_3346"
"ADAMTSL3","ADAMTSL3","TAD_1171"
"ADAMTSL4","ADAMTSL4","TAD_209"
"ADAP2","ADAP2","TAD_1400"
"ADAR","ADAR","TAD_217"
"ADARB1","ADARB1","TAD_2142"
"ADARB2","ADARB2","TAD_344"
"ADARB2-AS1","ADARB2-AS1","TAD_344"
"ADAT1","ADAT1","TAD_1315"
"ADCK1","ADCK1","TAD_1036"
"ADCK3","ADCK3","TAD_313"
"ADCK4","ADCK4","TAD_1657"
"ADCK5","ADCK5","TAD_3331"
