"","x"
"7SK",0.0690397295061872
"A1BG",0.00167358399021653
"A1BG-AS1",0.000709962072348815
"A2M",0.000311266662664343
"A2ML1",0.000565479904448429
"A4GALT",0.0810006487408982
"A4GNT",0.000135491172980415
"AAA1",0.00148746725656511
"AAAS",0.600006677505867
"AACSP1",0.0271916819436881
"AADAC",0.0398062579848445
"AAK1",0.670581565614265
"AANAT",0.00803752048648212
"AARS2",0.310118495515792
"AARSD1",1.14234757759962
"AASS",0.0643202450217376
"AATF",2.86099807456927
"AATK",0.000321285295881852
"AB007962",0.000354201881402929
"AB074162",0.0037649446162505
"AB074166",0.00303662333521456
"AB075492",0.00517364633103128
"AB209185",0.00201346377576103
"AB231703",0.000722255318471079
"AB231705",0.000121359933197667
"ABAT",0.0519528571799722
"ABCA10",0.00390583633385535
"ABCA11P",0.105175151025691
"ABCA17P",0.00519637766883559
"ABCA2",0.285084708719046
"ABCA3",0.0609560069487164
"ABCA5",0.0702265323571458
"ABCA6",0.00179944408962135
"ABCA8",0.000592719927031587
"ABCA9",0.00103312819806319
"ABCB1",0.000565151112180101
"ABCB10",0.145842210720105
"ABCB4",0.000969902595251953
"ABCB5",0.001382881538038
"ABCB6;ATG9A",1.18432093776329
"ABCB7",0.267172427351632
"ABCB8",0.171626811610689
"ABCC10",0.174769983876498
"ABCC12",0.000320506454277788
"ABCC13",0.00124498214377787
"ABCC3",0.47750498725827
"ABCC4",0.392113821191364
"ABCC5",0.243006248578994
"ABCC8",0.000474785201359537
"ABCC9",0.000536004982273511
"ABCD2",0.000383701571802532
"ABCD4",0.198175689906204
"ABCF1;MIR877",4.2939493524541
"ABCF2",2.27704932098389
"ABCF3",0.569742417312408
"ABCG1",0.000939463973287827
"ABCG2",0.0230980861688223
"ABCG4",0.0311354039604064
"ABHD10",1.88033157079169
"ABHD12",0.541053587915122
"ABHD12B",0.000188628504215385
"ABHD16A;MIR4646",0.325391361992172
"ABHD1;AK074615",0.00364188787026553
"ABHD3",0.111538077308581
"ABHD4",0.125930921633361
"ABHD5",0.298557327683796
"ABHD6",0.140239336889718
"ABI2",0.707906085488375
"ABI3",0.00112262385688326
"ABI3BP",0.00105556429718666
"ABL2",0.4785627925975
"ABLIM1",2.77502548471492
"ABLIM2",0.0290082657594197
"ABLIM3",0.178600313935336
"ABO",0.000133731097761271
"ABRA",0.000421811288041262
"ABTB2",0.062546493560284
"ACAA1",0.421819990330732
"ACACA",1.0913853127579
"ACACB",0.0513244787231476
"ACAD10",0.121163650156177
"ACAD11;NPHP3-ACAD11",0.226248835501905
"ACAD8",0.169574750232206
"ACADS",0.193712883365341
"ACAN",0.000247777055755437
"ACAP1",0.0236650885593501
"ACAT1",1.82805903481914
"ACAT2",0.699866036570119
"ACBD3",0.471560772873511
"ACBD5",0.298460034609699
"ACBD6",1.15079468357935
"ACBD7",0.0991803271696151
"ACCN2",0.250486763652794
"ACCN3",0.0454390611448443
"ACCN4",0.00211592445449211
"ACCSL",0.000132153968412532
"ACD",0.733123727362254
