1	2	3	4	5	6	7	8	9	10	11	12	13
AURKAIP1	0.863075002538243	0.608112931856634	0.711767994142585	1.01908861368255	0.846745107300413	0.878004710023963	1.02830395200681	1.25943157500651	1.03966245732265	0.973395142519721	1.15068785289128	1.01390762664399	1
HP1BP3	1.07082207234973	1.16900629531418	1.12737120917629	0.931988782804573	1.14159324243201	0.939141725456036	0.996846117590946	1.03954566165962	0.847054770271903	0.947443071106938	1	0.997835565156176	1.08230596639981
STMN1	1.13261888689927	0.927992237960698	1	0.926431601388296	0.873390903846233	0.839066870418545	1.06045582766904	0.777610803299536	0.71714211490464	1.25880509194517	1.06128556831368	1.15614463648942	1.1852606768023
ATPIF1	0.888602984086501	0.615268689945329	0.71027584912348	1.00114798918345	0.768129695186491	0.737409546087366	0.929633633312624	1	1.07458063096424	1.07714401444365	1.17379243670862	1.2181474989037	1.2268497501872
YARS	1.04075279688792	1	0.956438326082837	0.970135498347446	1.17629992210517	0.980629364266329	1.08289120246152	1.14660767142527	1.52752263938106	0.882209912847852	0.896573307989969	1.03308278726164	0.934732984086796
CLSPN	1	1.35587425610769	1.05280337710027	2.16962907815571	2.58038312689438	5.11774742843162	0.688924283882789	0.958856259300123	0.641765877293456	0.820900222715829	0.815956921530347	0.733006786873788	1.03410529909881
CDCA8	1.05292186267584	3.58948752271268	2.69043221936146	1.0821472311719	2.16592128370684	1.92137408352953	0.832488531980305	0.998527671157129	0.864117095848878	0.801805360698647	1	0.697036067333091	0.960123283961616
PPIH	1.15002008743658	1	1.11822725652569	1.33781898603473	0.961380555586557	1.18965659285538	1.02992692121942	1.02634616301549	0.86199657194995	0.841478062080655	0.838257267853987	0.890474925181883	0.979636414146264
CDC20	4.13176092775536	5.44967612681366	6.17835374993805	1.03049369416144	2.10378958689962	1.32399053982085	1	0.639055264303775	0.703498222215847	0.56616516158941	0.456694890605731	0.614747318705056	0.668601709342764
KIF2C	1.95207699212714	6.06667670707591	4.95006933455226	1.6532136418931	3.67578547638111	2.96712301396184	0.910414172896268	0.993145636207966	0.948578206548465	1	0.965325050057486	0.778775394104712	0.841719589916788
STIL	0.945249337161515	1.89917192894404	1.36060139725298	1.34059998133166	1.74482792059415	1.70343215187884	0.975403664799772	1.01495791874922	0.963727774692125	0.916036693489528	0.854863429375497	0.880290354326623	1
TXNDC12	1.45505147442244	1.0966288472314	1.30825264588331	0.949849057391633	0.991846076426106	0.86711232477719	1.16496237663621	1.01057793884066	1.03227409550187	0.905030538073559	1	0.878168874901224	0.866258518469125
USP1	0.689079983162579	1.03948705629273	1	1.16817573192978	1.44611212673978	1.66964813963175	0.869610733838381	1.1413002618964	0.85065987660656	0.938682391880386	1.20662407090289	0.907121097018626	0.961400407756625
ITGB3BP	1	1.06377393438098	1.01789128396348	1.038334853727	1.47062286174523	1.54782730033231	0.895440658871417	0.954191846174819	0.8637289228958	0.915349705011863	0.927232364594359	0.941831435199899	1.00736220193731
DEPDC1	0.890577484678026	3.29815963044883	2.63281090925833	1.91657894437758	2.34161264878108	1.79205705388599	0.609383623016043	1.42550924290626	0.831239972043983	0.78438712963876	0.715299674652655	0.794613413668627	1
CCDC18	0.821170772131403	1.44939027066439	1.10324368362195	1.16482051555828	1.20850698113353	1.32654468663449	0.805545923207805	1.1465932818398	0.858412316083594	1	0.832527588471076	0.691502495842006	0.841283293124792
SASS6	0.730374590795276	1.26141443448857	1.03351162193958	1.65070312463549	1.378358717914	1.44577562257401	0.805040885738591	1.27363943922925	0.886326575416271	0.753247054439998	1	0.711660661536825	0.909021340358485
GPSM2	0.830559599310108	2.09231755867393	1.66715897564904	1.02019232831186	1.38005876635166	1.1579517353507	0.763740499273575	1.06478515599385	0.744891609125665	0.802395751152271	0.93608525022829	0.987496637420113	1
PSRC1	1.20726167834239	3.48264359621517	2.53456193877781	1.11472373594045	1.95577188728479	1.23757164441191	0.803506455264543	0.943018053782162	0.840675385317907	0.883107201122301	0.854504182894932	1	0.851139000284487
HIST2H2AC	0.899995501703136	0.776367219582326	0.648011828571967	0.89819264455501	2.71026190288457	2.09744018817108	1.00151448533578	1	0.820716037160788	1.15377507143351	1.06479999489783	1.02482507754604	0.954415143763176
ANP32E	1.39714260007179	1.09474317618853	1.43951111811978	0.943127380761658	1.08135152514326	0.986082921946887	1.04494536667854	1	0.894848936919668	0.973929526511653	0.981880213356918	0.995616915062452	1.15856216582245
PFDN2	0.96260980606636	0.618256240700666	0.867581545628656	1	0.798470425511424	0.835729681297198	1.07746887875437	1.17983758080268	1.55796314494542	0.866441168059634	1.15154122596173	1.06340882215232	1.20249090984383
NUF2	3.34689146186447	5.92880826590155	5.69631757683423	1.32633123333688	3.78446271772714	2.27360258615955	1	0.736708187208941	0.68951282071393	0.902321992164231	0.831523867619124	0.668037263888306	0.578049183885174
CACYBP	1.05843113057611	0.845964713154749	1.0349723850596	1.04909455981343	0.876373990353096	0.943685883430426	1.06623457509901	0.807749201090847	0.923657017017757	0.883327418694253	1	1.10729537508022	1.13471486057387
ASPM	1.40124899802533	5.6543218656855	3.38345855112843	2.11434137501241	3.10036888476014	2.10412425207645	0.703395369943883	1	0.741253672065201	0.903015958357257	0.93895262220121	0.853712779108043	0.79488121025589
KIF14	1.14338534984211	2.70768462881103	1.92333361425075	1.23181937918512	2.03123248160258	1.4389348883314	0.852786256228673	0.974086081445838	0.820182226508839	0.812649269751052	0.757456232587805	1	0.79906743021156
