1	2	3	4	5	6	7	8	9	10	11	12	13	14
ACIN1	0.97629115599582	1.02370884400418	0.909718013328438	0.947248956728585	0.863873820444798	0.819067138775678	0.910020040061113	1.08030911709971	1.09329015030123	0.799499124439686	1.05244524051468	1.0522781574061	1.37034584842876	1.13709203354561
ACOT7	0.814227292714542	1.28440185432654	1.11416999829846	0.70370419468865	0.908447156285107	0.976016770075996	0.820708272020568	1.00103713499293	0.914081615135755	1.26827300108415	1.20346210958491	0.998962865007066	1.44531110402725	1.08579676766052
AGAP1	0.665969114564153	1.0788475138126	0.972245148655588	0.791130583245149	0.762674801182942	0.942375799268082	1.13616529709101	1.02775485134441	1.12066282619115	1.07109484800969	1.05948648108267	0.863384670965873	1.04472800320354	0.669946709355506
AHNAK	1.42859464159839	1.26279466869603	0.656332450720802	0.973140429691078	1.0210189010067	0.916307290811975	0.834838391935864	0.873232748790734	0.978981098993305	1.21183683362437	1.0923592888065	1.07096080611229	1.72452203645462	0.751113871111581
AK095117	1.07023905531909	1.06768127991928	0.96675999702763	0.876721585773326	0.769638070515349	1.00969383405598	0.996602823292103	0.893415855528239	0.719902694702682	1.25855244813043	1.10670920937171	0.90538539430201	1.01711079988358	1.0033971767079
AKAP13	0.947694673985961	0.953964382486988	0.709578457328089	1.46103315282895	0.928041334203295	1.12694800611722	0.920096194427802	0.915870617978073	1.21292461335943	1.04603561751301	1.16187484246614	1.30507648227454	1.16167723920308	0.907772601398289
AL831889	1.25699280308757	1.46419564173021	1.21478693061008	1.10083129103554	0.926997147442261	0.7143514168981	1.01865602334374	0.806823151929501	0.821620906151984	0.920245619511244	0.852593613018679	0.981343976656258	1.12275546634654	1.02560072475334
AL832891;CYR61	0.505684410627372	0.756958266267056	0.94100790821195	0.350607120673343	0.641916943493498	1.47928460716458	0.881365892351806	2.13995986198106	0.523213076792458	1.55576743223517	2.40745616757918	2.21080335273469	1.76967236108486	1.05899209178805
ANAPC11	0.947907652708289	0.898430748126023	0.873231860207442	0.713990736377555	0.919439942577826	0.945159535174907	0.860109999178176	1.14010460287417	1.13997787525339	1.2617914164412	1.22204646443014	1.05209234729171	1.44008150907355	1.12270003389191
ANGEL2	0.861379406143018	1.10457275315454	1.13535425497834	0.734657908480533	0.762258864248673	1.14050832777837	0.911755427209181	0.9620869481941	1.08369767123518	1.06827259335693	1.0379130518059	0.947082340435789	1.06614818143887	0.782422956561184
ANKRD11;AX748291	0.907158198240235	1.22317944841602	0.835852667944163	1.10354300677461	0.760233216578589	0.918965028569877	0.851705363213505	0.887456024670977	1.02402398187191	1.04892535199764	0.975976018128091	1.09177106065599	1.69152922605448	1.33611135450308
ANKRD50	0.976708746775403	1.20813080375778	1.30175215266087	1.29394697517068	0.82626944442911	0.758378149660302	0.853918416670021	1.0232912532246	1.20077435036653	0.936846738012006	1.10326210408765	0.975735246032887	1.42479013698807	0.820742995923127
ANLN	1.31052200760078	0.957486902741778	1.0833814261458	1.29580207205428	1.27420284002341	1.02592909598825	0.695071378100418	0.568373881823067	0.974070904011746	0.69308985154527	0.750265874066581	1.12992814902662	0.317756822077805	1.23135287651085
ANP32E	1.24848003072189	1.20769850351165	1.19930525419137	0.99909746691145	0.996486205492952	0.907295150198783	0.7850944129557	0.74848992664862	1.22888137143057	0.909310480319462	1.00090253308855	1.10072012617685	0.784212445610466	1.26119876212035
APOBEC3G	0.936131364288471	0.983729977233148	1.16210019453984	0.970148545791362	1.0727000836881	0.838366367854713	0.989406103099079	1.01098058306275	1.23572728371468	0.972994529428035	1.01059389690092	1.14140469761294	1.42367272652662	0.838366367854713
ARAF	1.31388163868087	0.979318301609572	1.2988631887528	0.913797667881105	0.853020111621064	1.03976194168428	0.87501868407692	0.693238200059419	0.857707443291526	0.85186104790293	1.33351203791096	1.06465174725917	1.19996123359322	1.02068169839043
ARHGAP11A	1.58343595516319	1.20034706738085	1.0436895766936	2.39545984353593	1.64967998332106	1.45538321177995	1.13340669709118	0.956310423306399	0.847359532568551	0.663371719917122	0.650471818821772	0.491064450201148	0.626179419830209	0.717218988070828
ARHGAP21	0.953125720610004	1.21493452643768	1.04687427939	1.28860297714369	0.921669872897907	0.858524532638536	0.816512618516205	0.871371168424177	1.24950984938225	0.952693557926051	0.774132382131167	1.25473696793581	1.42705301226403	1.2837204593571
ARL6IP1	2.78568884479104	2.13894401190951	2.89562578619279	3.41178060140252	2.43556805454798	0.9459870216844	0.618642318768339	0.497650205907413	0.868977502123566	0.546036875606676	0.699056998599138	1.53768125842659	0.670809881989081	1.0540129783156
ARSK	1.1314781437609	0.919004037919663	0.859843876980562	0.957891352767591	0.765470883108806	1.1371092123667	1.02726702831928	1.47131522262816	0.911687655300687	1.08146832681055	0.933191204698235	0.97273297168072	1.33244750452991	1.18565587590975
ASF1B	0.924008601011341	0.905035705160476	1.00124577859991	0.93417735835564	1.13061367295229	1.42859625200495	1.83612621167787	1.655635036379	0.998754221400094	1.3394078691195	1.23597978402928	0.61085637587352	0.597275682620171	0.929022109896795
ASPM	2.05441204897032	1.64258195676534	0.947533906717481	2.85462432357341	1.19464304772311	1.07768643829582	0.572737251612047	0.562184983584462	0.558141324927455	0.357285178064459	0.341146112343775	1.05246609328252	0.396725093960557	1.25832364892121
ATAD2	0.775595521762439	0.88509860612466	1.22397357060721	0.805699352849648	0.600280029032407	1.27917997032833	2.06136341763396	2.04179374426632	0.904024602215969	1.63638797115658	1.15824074053848	0.958697567202405	0.691273580753941	1.04130243279759
