clone	day	color	metacell	x_proj	y_proj
WZM0072085	1D12	d_33	#B79F00	49	849.215951169005	619.657498612695
WZM0072086	1D12	d_33	#B79F00	49	820.344677554016	522.280483075328
WZM0072087	1D12	d_33	#B79F00	47	822.099912087598	528.961535300019
WZM0072089	1D12	d_33	#B79F00	48	822.752210209736	675.188879125527
WZM0072090	1D12	d_33	#B79F00	45	845.935120911821	495.233451474334
WZM0072093	1D12	d_33	#B79F00	29	563.830327251009	504.053754704608
WZM0072095	1D12	d_33	#B79F00	45	843.698017906207	569.278683490879
WZM0072097	1D12	d_33	#B79F00	46	781.06327063842	549.024296696388
WZM0072098	1D12	d_33	#B79F00	45	850.27579342517	544.457119085313
WZM0072099	1D12	d_33	#B79F00	45	831.277296785256	598.342322080237
WZM0072100	1D12	d_33	#B79F00	48	877.978691943995	616.74744784468
WZM0072101	1D12	d_33	#B79F00	49	744.21955687938	658.034528090222
WZM0072102	1D12	d_33	#B79F00	53	849.585785996506	709.086477518628
WZM0072103	1D12	d_33	#B79F00	45	910.087893923005	570.417800028846
WZM0072104	1D12	d_33	#B79F00	48	838.231376489978	611.30489511348
WZM0072105	1D12	d_33	#B79F00	46	772.415909172321	559.474527268657
WZM0072106	1D12	d_33	#B79F00	48	853.407194178832	579.932855521154
WZM0072107	1D12	d_33	#B79F00	47	863.191513685645	507.827597741391
WZM0072108	1D12	d_33	#B79F00	47	872.757805786897	557.691872636887
WZM0072109	1D12	d_33	#B79F00	47	854.785203327762	564.358345175524
WZM0072110	1D12	d_33	#B79F00	46	768.828069160512	518.20423107933
WZM0072111	1D12	d_33	#B79F00	45	898.955325089565	569.544563448768
WZM0072112	1D12	d_33	#B79F00	45	814.179386772895	541.900350915944
WZM0072113	1D12	d_33	#B79F00	20	78.4939397426947	388.363227840393
WZM0072114	1D12	d_33	#B79F00	54	897.285968296267	623.132197706284
WZM0072115	1D12	d_33	#B79F00	45	844.869792772831	547.087866454113
WZM0072116	1D12	d_33	#B79F00	46	738.512093704213	519.260566090214
WZM0072117	1D12	d_33	#B79F00	45	865.637965246004	596.726053032818
WZM0072118	1D12	d_33	#B79F00	45	861.279419077459	571.653573372458
WZM0072119	1D12	d_33	#B79F00	47	862.376033584859	573.64749517701
WZM0072121	1D12	d_33	#B79F00	46	782.70908230433	527.579372215042
WZM0072122	1D12	d_33	#B79F00	54	870.709372578797	593.277822539578
WZM0072123	1D12	d_33	#B79F00	46	727.397685617337	526.970829482396
WZM0072124	1D12	d_33	#B79F00	54	874.322059995954	606.216553836756
WZM0072125	1D12	d_33	#B79F00	55	808.877683299229	752.421491854939
WZM0072126	1D12	d_33	#B79F00	49	809.669651046372	535.675354354631
WZM0072127	1D12	d_33	#B79F00	46	736.043386590076	562.112747100977
WZM0072128	1D12	d_33	#B79F00	45	891.955501483323	538.432815608144
WZM0072129	1D12	d_33	#B79F00	46	760.000030918125	567.080690106308
WZM0072130	1D12	d_33	#B79F00	53	757.470312793877	748.05339987941
WZM0072132	1D12	d_33	#B79F00	45	880.404265563939	568.42904851952
WZM0072133	1D12	d_33	#B79F00	53	806.22840788442	651.416582224428
WZM0072134	1D12	d_33	#B79F00	55	821.154312722508	722.59542151985
WZM0072135	1D12	d_33	#B79F00	47	904.970284012213	561.629123958418
WZM0072137	1D12	d_33	#B79F00	46	772.130006103645	531.266643402546
WZM0072138	1D12	d_33	#B79F00	45	823.316116688275	555.87209618408
WZM0072139	1D12	d_33	#B79F00	46	791.473592134932	507.269965807866
WZM0072140	1D12	d_33	#B79F00	8	491.601047811528	499.263842545485
WZM0072141	1D12	d_33	#B79F00	45	812.90541720324	540.482847635148
WZM0072142	1D12	d_33	#B79F00	45	846.465114722281	528.751030713865
WZM0072143	1D12	d_33	#B79F00	45	859.59049062907	590.91404937462
WZM0072144	1D12	d_33	#B79F00	46	792.29917269407	537.038153781186
WZM0072145	1D12	d_33	#B79F00	47	814.815292667492	555.837720748441
WZM0072146	1D12	d_33	#B79F00	36	574.894507062013	671.543080991388
WZM0072147	1D12	d_33	#B79F00	47	808.712810386872	578.393709871254
WZM0072148	1D12	d_33	#B79F00	30	476.951847118272	577.011719507169
WZM0072149	1D12	d_33	#B79F00	28	445.623712374087	666.987680927099
WZM0072150	1D12	d_33	#B79F00	44	430.316528620174	845.038133615461
WZM0072151	1D12	d_33	#B79F00	32	587.773266115625	606.464920108553
WZM0072152	1D12	d_33	#B79F00	48	817.608658990828	607.089085765551
WZM0072153	1D12	d_33	#B79F00	45	869.178366502185	558.408733045096
WZM0072154	1D12	d_33	#B79F00	45	834.545986778798	606.505009282968
WZM0072155	1D12	d_33	#B79F00	46	745.314400854527	538.264084972763
WZM0072157	1D12	d_33	#B79F00	46	864.807741180487	531.888934082826
WZM0072158	1D12	d_33	#B79F00	27	489.694724374382	601.222567684314
WZM0072159	1D12	d_33	#B79F00	45	831.581056532198	597.940964961903
WZM0072160	1D12	d_33	#B79F00	45	875.633152065932	556.397533391729
WZM0072161	1D12	d_33	#B79F00	46	785.98015289135	567.017487386627
WZM0072162	1D12	d_33	#B79F00	45	843.714046452447	529.542539677497
WZM0072163	1D12	d_33	#B79F00	54	929.559502600886	635.712025552187
WZM0072164	1D12	d_33	#B79F00	46	810.72002735972	562.369746554805
WZM0072165	1D12	d_33	#B79F00	47	853.400399873107	519.315403099354
WZM0072166	1D12	d_33	#B79F00	47	839.134313853077	525.766215003618
WZM0072167	1D12	d_33	#B79F00	45	854.824473728706	553.464372826065
WZM0072168	1D12	d_33	#B79F00	45	835.030284314578	567.098530611579
WZM0072169	1D12	d_33	#B79F00	45	842.693651581592	595.048890617016
WZM0072170	1D12	d_33	#B79F00	47	890.259793499795	530.810752136841
WZM0072171	1D12	d_33	#B79F00	45	860.775439349843	584.03647533195
WZM0072172	1D12	d_33	#B79F00	45	803.010231145295	557.722681616089
WZM0072173	1D12	d_33	#B79F00	48	848.002277830736	615.09397694829
WZM0072174	1D12	d_33	#B79F00	47	847.674811323407	606.799173452775
WZM0072175	1D12	d_33	#B79F00	46	769.589513534456	515.678773521273
WZM0072177	1D12	d_33	#B79F00	46	816.003018756179	593.373262168372
WZM0072178	1D12	d_33	#B79F00	46	756.993767987738	499.019698903929
WZM0072179	1D12	d_33	#B79F00	32	621.603803406152	617.447674141503
WZM0072180	1D12	d_33	#B79F00	46	776.538470072808	539.170574336598
WZM0072181	1D12	d_33	#B79F00	46	740.902543835407	548.300523850842
WZM0072183	1D12	d_33	#B79F00	47	881.99554576777	506.708105259925
WZM0072185	1D12	d_33	#B79F00	48	783.419026904198	611.263823304785
WZM0072186	1D12	d_33	#B79F00	47	856.311715907952	538.169289772477
WZM0072187	1D12	d_33	#B79F00	53	773.410282532287	621.709204255487
WZM0072192	1D12	d_33	#B79F00	27	447.944532886634	569.845971877786
WZM0072193	1D12	d_33	#B79F00	55	857.516200731493	742.475538936085
WZM0072194	1D12	d_33	#B79F00	46	807.478487878347	535.653750459689
WZM0072195	1D12	d_33	#B79F00	46	799.185956347403	552.28508716682
WZM0072196	1D12	d_33	#B79F00	27	480.538663386837	598.4135265876
WZM0072197	1D12	d_33	#B79F00	46	796.02113271183	536.638055500567
WZM0072198	1D12	d_33	#B79F00	48	802.251285535571	635.432842620979
WZM0072199	1D12	d_33	#B79F00	54	885.575930394475	659.029852882745
WZM0072200	1D12	d_33	#B79F00	53	779.005961981643	728.890673320317
WZM0072201	1D12	d_33	#B79F00	46	846.970831191814	573.35708330016
WZM0072202	1D12	d_33	#B79F00	47	867.285809386625	523.204745214615
WZM0072203	1D12	d_33	#B79F00	45	883.806803653263	590.979575929005
WZM0072204	1D12	d_33	#B79F00	52	724.59589334061	791.788380243566
WZM0072205	1D12	d_33	#B79F00	52	720.17366973932	786.902681233773
WZM0072206	1D12	d_33	#B79F00	51	598.486417671895	827.02726618409
WZM0072207	1D12	d_33	#B79F00	46	798.488892332651	562.60213997936
WZM0072208	1D12	d_33	#B79F00	53	809.543213336119	679.610731046145
WZM0072209	1D12	d_33	#B79F00	54	885.108519890214	588.950087559343
WZM0072210	1D12	d_33	#B79F00	55	790.811333727485	734.968567046492
WZM0072211	1D12	d_33	#B79F00	52	723.759057392554	845.423924955243
WZM0072212	1D12	d_33	#B79F00	52	726.531168402756	833.158371769775
WZM0072213	1D12	d_33	#B79F00	45	831.569862125969	613.058103358739
WZM0072214	1D12	d_33	#B79F00	46	732.2363144185	555.59015640751
WZM0072215	1D12	d_33	#B79F00	46	836.519546817722	538.601064496816
WZM0072216	1D12	d_33	#B79F00	47	884.118853087451	524.208005669718
WZM0072217	1D12	d_33	#B79F00	49	827.748118279242	591.725480247083
WZM0072218	1D12	d_33	#B79F00	48	853.610820175148	596.888134537592
WZM0072219	1D12	d_33	#B79F00	33	520.272621836036	471.822508986144
WZM0072220	1D12	d_33	#B79F00	49	751.83424150977	616.265043298656
WZM0072221	1D12	d_33	#B79F00	52	719.88278661053	797.758875002985
WZM0072222	1D12	d_33	#B79F00	53	762.701340109998	645.291658657767
WZM0072223	1D12	d_33	#B79F00	48	849.513139198557	654.255664891998
WZM0072224	1D12	d_33	#B79F00	52	713.902520052131	828.273101178794
WZM0072225	1D12	d_33	#B79F00	48	841.568609622163	575.820692429811
WZM0072226	1D12	d_33	#B79F00	46	785.022980128456	509.61421316161
WZM0072227	1D12	d_33	#B79F00	46	837.897008083688	550.708378743842
WZM0072229	1D12	d_33	#B79F00	49	796.711765851706	614.773605333372
WZM0072230	1D12	d_33	#B79F00	45	886.086982920714	596.667470683716
WZM0072231	1D12	d_33	#B79F00	47	872.227703442515	512.640968089739
WZM0072233	1D12	d_33	#B79F00	48	848.40626890006	677.579237281598
WZM0072234	1D12	d_33	#B79F00	47	833.931227369067	522.107473666505
WZM0072235	1D12	d_33	#B79F00	45	845.730824458801	570.557644577059
WZM0072236	1D12	d_33	#B79F00	47	820.902273601586	585.023400177692
WZM0072237	1D12	d_33	#B79F00	40	376.400765099838	863.295934025412
WZM0072238	1D12	d_33	#B79F00	53	760.476391565553	712.281730848328
WZM0072239	1D12	d_33	#B79F00	55	770.292058124126	809.417112944951
WZM0072240	1D12	d_33	#B79F00	46	733.940394548268	499.606298841597
WZM0072241	1D12	d_33	#B79F00	49	800.630146282793	546.278678384674
WZM0072242	1D12	d_33	#B79F00	53	816.978484430311	701.244660206139
WZM0072243	1D12	d_33	#B79F00	49	818.23554408815	600.338920535064
WZM0072245	1D12	d_33	#B79F00	48	813.55801064612	643.442385117163
WZM0072246	1D12	d_33	#B79F00	30	502.744431243659	548.04130765615
WZM0072247	1D12	d_33	#B79F00	46	803.592215632677	585.616157405942
WZM0072249	1D12	d_33	#B79F00	46	794.945653892626	534.244635996146
WZM0072250	1D12	d_33	#B79F00	29	645.191601895653	535.019321187734
WZM0072251	1D12	d_33	#B79F00	46	743.411601959336	523.161552548183
WZM0072252	1D12	d_33	#B79F00	47	842.266261163116	513.614484102119
WZM0072253	1D12	d_33	#B79F00	29	594.249248119498	533.595928042729
WZM0072254	1D12	d_33	#B79F00	46	743.355691895979	527.538106827526
WZM0072256	1D12	d_33	#B79F00	53	804.809979409658	635.929773688149
WZM0072257	1D12	d_33	#B79F00	49	753.882972417438	570.411455859346
WZM0072258	1D12	d_33	#B79F00	35	585.372636654791	613.555308430648
WZM0072259	1D12	d_33	#B79F00	52	759.339223897994	769.102971037565
WZM0072260	1D12	d_33	#B79F00	45	857.02823163722	571.89921167517
WZM0072261	1D12	d_33	#B79F00	46	838.013659085487	533.139993242338
WZM0072262	1D12	d_33	#B79F00	45	850.177571538735	535.150964779982
WZM0072263	1D12	d_33	#B79F00	30	485.303909330674	651.114136957315
WZM0072264	1D12	d_33	#B79F00	46	765.958167867771	573.156812547337
WZM0072265	1D12	d_33	#B79F00	46	772.932077296009	564.194372972278
WZM0072266	1D12	d_33	#B79F00	46	767.58997073876	550.569877955361
WZM0072267	1D12	d_33	#B79F00	45	821.945020967798	541.975188875331
WZM0072269	1D12	d_33	#B79F00	53	791.201858243012	675.087365865888
WZM0072270	1D12	d_33	#B79F00	47	846.758666860491	579.634702133727
WZM0072271	1D12	d_33	#B79F00	52	702.231484825586	813.842014728087
WZM0072272	1D12	d_33	#B79F00	46	788.233460159243	572.142612441584
WZM0072273	1D12	d_33	#B79F00	47	832.089709088891	525.206590515365
WZM0072274	1D12	d_33	#B79F00	46	697.395216725538	537.489720085796
WZM0072275	1D12	d_33	#B79F00	53	740.474652804885	668.787401395136
WZM0072276	1D12	d_33	#B79F00	48	825.166253175207	677.146317934238
WZM0072278	1D12	d_33	#B79F00	40	346.30362282845	812.253283245417
WZM0072279	1D12	d_33	#B79F00	52	720.164902070683	740.555366653497
WZM0072281	1D12	d_33	#B79F00	46	757.790389181284	500.973473073191
WZM0072282	1D12	d_33	#B79F00	48	819.968714467444	621.792007229156
WZM0072283	1D12	d_33	#B79F00	46	711.877055064167	519.490799308847
WZM0072284	1D12	d_33	#B79F00	24	541.518499106962	691.572390424085
WZM0072286	1D12	d_33	#B79F00	46	736.409094456863	536.318825583394
WZM0072288	1D12	d_33	#B79F00	46	762.415945609503	567.146147147128
WZM0072290	1D12	d_33	#B79F00	45	910.130435023793	546.134784076095
WZM0072291	1D12	d_33	#B79F00	49	852.117988923894	591.001570023948
WZM0072292	1D12	d_33	#B79F00	45	869.928759024841	568.277395137103
WZM0072293	1D12	d_33	#B79F00	29	601.676128670189	547.396542560063
WZM0072294	1D12	d_33	#B79F00	45	832.316624911388	558.226421323498
WZM0072295	1D12	d_33	#B79F00	45	917.958295608423	546.25496450468
